SN_name,RA,DEC,redshift,type
2005ap,195.31183,27.72539,0.2832,SLSN-I
2006oz,332.22317,0.89733,0.376,SN Ib
2007bi,199.83417,8.92889,0.1279,SLSN-R
2009jh,222.291998,29.419833,0.3502,SLSN-I
2010gx,171.444625,-8.828167,0.23,SLSN-I
2010md,249.446,6.20897,0.0982,SLSN-I
2011kf,219.23971,16.51572,0.245,SLSN-I
2011kg,24.93963,29.92417,0.193,SLSN-I
2012il,146.553542,19.841167,0.175,SN Ic
2013dg,199.6724,-7.0786,0.26,SLSN-I
2013hy,40.63675,-1.358361,0.663,SLSN-I
2015bn,173.423125,0.725972,0.1136,SLSN-I
2016eay,180.715417,44.257611,0.1013,SLSN-I
2016wi,119.711125,66.127521,0.224,SLSN-I
DES14X3taz,37.018625,-4.086889,0.608,SLSN-I
LSQ12dlf,27.6242,-21.8126,0.25,SLSN-I
LSQ14bdq,150.4234,-12.3704,0.35,SLSN-I
LSQ14mo,155.673,-16.9207,0.253,SLSN-I
PS1-10awh,333.624296,-0.06767,0.91,SLSN-I
PS1-10bzj,52.915942,-27.795047,0.65,SLSN-I
PS1-10ky,333.407713,1.239881,0.96,SLSN-I
PS1-14bj,150.535137,3.655283,0.5215,SLSN-I
PTF09atu,247.602288,23.640289,0.501,SLSN-I
PTF09cnd,243.037252,51.48782,0.258,SLSN-I
PTF12dam,216.192501,46.230089,0.1075,SLSN-I
SCP-06F6,218.11415,33.54023,1.189,SLSN-I
SNLS-06D4eu,333.97621,-18.17932,1.588,SLSN-I
SNLS-07D2bv,150.0276,2.64327,1.5,SLSN-I
SSS120810,349.5076,-56.1571,0.17,SLSN-I
iPTF13ajg,249.76646,37.02733,0.74,SLSN-I
iPTF13dcc,44.26042,-0.31222,0.4305,SLSN-R
iPTF13ehe,103.339587,67.13223,0.33,SLSN-R
iPTF16bad,259.165552,28.370161,0.247,SLSN-I
2011ke,207.74075,26.278444,0.143,SLSN-I
