"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","48736","2007-04-15 14:26:52.00","2454206.1019907","","Keck1","LRIS","Ryan Foley, Alex Filippenko, Jeffrey Silverman","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN_2007bi_2007-04-15_14-26-52_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3174","9240","1.9993408042189","","2019MNRAS.482.1545S","SNR: 14.9238;","WIS_Bot1","2019-01-23 10:48:35"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21768","2007-04-16 00:00:00.00","2454206.5","","Keck1","LRIS","Filippenko+Foley + Silverman+Chornock + Perley+Bloom+Kocevski","Ryan Chornock","PTFdryrun","Y","PTFdryrun","","2007bi_2007-04-16_00-00-00_Keck1_LRIS_PTFdryrun.flm","","Object","","","Air","Angstrom","1","Other","","600","1.5","","1.08","D560","600 line","400 line","8500","3114","9332","1.9993569131833","Gal-yam et al. 09","2009Natur.462..624G",""," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","48735","2007-04-16 08:49:55.00","2454206.8679977","","Keck1","LRIS","Dan Perley, Josh Bloom, Ryan Foley, Kocevski","Ryan Chornock","UCB-SNDB","Y","UCB-SNDB","","SN_2007bi_2007-04-16_08-49-55_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3114","9332","1.9993569131833","","2019MNRAS.482.1545S","SNR: 43.1766;","WIS_Bot1","2019-01-23 10:48:35"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","56873","2007-04-22 00:00:00.00","2454212.5","","Ekar","AFOSC","Service","Stefano Valenti","","Y","","","2007bi_2007-04-22_Ekar_AFOSC_None.ascii","2007bi_2007-04-22_Ekar_AFOSC_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","7200","2.10","","1.251388","","GR04,GR02","","","3523.6052246094","13438.670898438","4.2120075079984","","2010A&amp;amp;amp;A...512A..70Y","","Dr David Young","2020-05-19 18:49:26"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","56874","2007-04-24 00:00:00.00","2454214.5","","INT-2.5m","IDS","V.Ripepi","Stefano Valenti","","Y","","","2007bi_2007-04-24_INT-2.5m_IDS_None.ascii","2007bi_2007-04-24_INT-2.5m_IDS_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","","","1.160096","","R150V","","","3400","9596.302734375","3.6948734253876",""," 2010A&amp;A...512A..70Y","","Dr David Young","2020-05-19 18:53:56"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","56876","2007-06-15 00:00:00.00","2454266.5","","WHT-4.2m","ISIS","dmb","David Young","","Y","","","2007bi_2007-06-15_WHT-4.2m_ISIS_None.ascii","2007bi_2007-06-15_WHT-4.2m_ISIS_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","","","2.104226","","R300B,R158B","","","3140","10346.368164063","1.7231870311006",""," 2010A&amp;A...512A..70Y","","Dr David Young","2020-05-19 19:06:49"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","56877","2007-07-21 00:00:00.00","2454302.5","","WHT-4.2m","ISIS","Benn","David Young","","Y","","","2007bi_2007-07-21_WHT-4.2m_ISIS_None.ascii","2007bi_2007-07-21_WHT-4.2m_ISIS_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","10800","","","2.325917","","R300B,R158B","","","3175","10876.373046875","3.2331540918871","","2010A&amp;amp;amp;A...512A..70Y","","Dr David Young","2020-05-19 19:09:19"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21771","2008-04-10 00:00:00.00","2454566.5","","VLT-UT1","FORS2","VLT Service","Stefano Valenti","PTFdryrun","Y","PTFdryrun","","2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_PTFdryrun.dat","","Object","","","Air","Angstrom","1","Other","","14400","1","","","","300V+20","","","3546.7875976562","9644.6083984374","3.2872349330357","Gal-yam et al. 09","2009Natur.462..624G","[Prev. spec info - createdby: avishay; modifiedby: ofer]"," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21773","2008-04-10 00:00:00.00","2454566.5","","VLT-UT1","FORS2","Unknown","Stefano Valenti","","Y","","","SN2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_None.txt","","Object","","","Air","Angstrom","1","Other","","14400","1","","","","","","","3652.0358531174","9644.6083984375","3.28720380983","Jerkstrand et al. 2017","2017ApJ...835...13J","[Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21774","2008-04-10 00:00:00.00","2454566.5","","VLT-UT1","FORS2","Unknown","Stefano Valenti","","Y","","","SN2007bi_2008-04-10_00-00-00_VLT-UT1_FORS2_None_0.txt","","Object","","","Air","Angstrom","1","Other","","14400","1","","","","","","","3652.0358531174","9644.6083984375","3.28720380983","Jerkstrand et al. 2017","2017ApJ...835...13J","Host-galaxy model subtracted [Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21772","2008-08-04 00:00:00.00","2454682.5","","Keck1","LRIS","Kulkarni+Kasliwal","Mark Sullivan","PTFdryrun","Y","PTFdryrun","","2007bi_2008-08-04_00-00-00_Keck1_LRIS_PTFdryrun.dat","","Object","","","Air","Angstrom","1","Other","","1800","1","","1.51","D560","400/3400","400 line","8500","3400","9300","4.995766299746","Gal-yam et al. 09","2009Natur.462..624G",""," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21775","2008-08-04 00:00:00.00","2454682.5","","Keck1","LRIS","Unknown","Mark Sullivan","","Y","","","SN2007bi_2008-08-04_00-00-00_Keck1_LRIS_None.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3400","9260","4.9957374254049","Jerkstrand et al. 2017","2017ApJ...835...13J","[Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2010-12-22 15:30:47"
"7289","2007bi","","199.83417","8.92889","SLSN-R","0.1279","21776","2008-08-04 00:00:00.00","2454682.5","","Keck1","LRIS","Unknown","Mark Sullivan","","Y","","","SN2007bi_2008-08-04_00-00-00_Keck1_LRIS_None_0.txt","","Object","","","Air","Angstrom","1","Other","","1800","1","","","","","","","3400","9260","4.9957374254049","Jerkstrand et al. 2017","2017ApJ...835...13J","Host-galaxy model subtracted [Data obtained from:Jerkstrand, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2010-12-22 15:30:47"
