"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15741","2010-03-18 00:00:00.00","2455273.5","","P200","DBSP","Robert Quimby","Assaf Sternberg","PTF","Y","PTF","","SN2010gx_2010-03-18_00-00-00_P200_DBSP_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3092.4726","10043.675","1.0770378679888","Quimby et al. 2011","2011Natur.474..484Q",""," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15743","2010-03-18 00:00:00.00","2455273.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","SN2010gx_2010-03-18_00-00-00_P200_DBSP_PTF_1.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3195.246315","9292.2366648","5.7034521513564","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15734","2010-03-21 00:00:00.00","2455276.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","2010gx_2010-03-21_00-00-00_NOT_ALFOSC_None.ascii","2010gx_2010-03-21_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","gm4","","","3400","9052.6754460335","2.9908335693299","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15735","2010-03-22 00:00:00.00","2455277.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010gx_2010-03-22_00-00-00_Gemini-S_GMOS-S_None.ascii","2010gx_2010-03-22_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","R150","","","3500","10296.487832069","3.5105825578871","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15736","2010-04-01 00:00:00.00","2455287.5","","WHT-4.2m","ISIS","Unknown","Unknown","","Y","","","2010gx_2010-04-01_00-00-00_WHT-4.2m_ISIS_None.ascii","2010gx_2010-04-01_00-00-00_WHT-4.2m_ISIS_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","R300BR158R","","","3100","11154.833007812","0.8622171920159","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15746","2010-04-08 00:00:00.00","2455294.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","SN2010gx_2010-04-08_00-00-00_P200_DBSP_PTF_1.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3157.1501541","9292.2366648","5.6753806759482","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15737","2010-04-09 00:00:00.00","2455295.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010gx_2010-04-09_00-00-00_Gemini-S_GMOS-S_None.ascii","2010gx_2010-04-09_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","B600","","","4100.7705078125","6954.8486328125","0.91830055501931","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15738","2010-04-22 00:00:00.00","2455308.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010gx_2010-04-22_00-00-00_Gemini-S_GMOS-S_None.ascii","2010gx_2010-04-22_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","R400","","","4652.8701171875","8893.6386718749","1.3644686469393","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15739","2010-05-02 00:00:00.00","2455318.5","","WHT-4.2m","ISIS","Unknown","Unknown","","Y","","","2010gx_2010-05-02_00-00-00_WHT-4.2m_ISIS_None.ascii","2010gx_2010-05-02_00-00-00_WHT-4.2m_ISIS_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","R300BR158R","","","3085","9836.3740234375","0.86246474494602","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15748","2010-05-07 00:00:00.00","2455323.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","SN2010gx_2010-05-07_00-00-00_P200_DBSP_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3338.9097421","9209.0205198","5.7776680882874","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","","171.444625","-8.828167","SLSN-I","0.23","15740","2010-06-05 00:00:00.00","2455352.5","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","2010gx_2010-06-05_00-00-00_Gemini-S_GMOS-S_None.ascii","2010gx_2010-06-05_00-00-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","0","0","","","","R400","","","3700.6000976563","9242.2626953125","0.91522090795314","Pastorello et al. 2010","2010ApJ...724L..16P","[Data obtained from:Pastorello, A.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2014-06-19 14:37:24"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15750","2010-06-17 00:00:00.00","2455364.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","SN2010gx_2010-06-17_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3285.929251","10289.5894919","6.1274367811899","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15751","2011-03-26 00:00:00.00","2455646.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","SN2010gx_2011-03-26_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3182.4900339","10258.7877398","6.0377966773891","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"5248","2010gx","PTF10cwr","171.444625","-8.828167","SLSN-I","0.23","15753","2014-11-19 15:22:40.00","2456981.1407407","","Keck1","LRIS","Perley","Perley","","Y","","","SN2010gx_2014-11-19_15-22-40_Keck1_LRIS_None.spec","","Host","","","Air","Angstrom","1","Other","","900","0","","1.558","560","400/3400","400/8500","","3094.8062","10290.2568","1.4105960792002","Perley et al. 2016","2016ApJ...830...13P","host spectrum [Data obtained from:Perley, D.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
