"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21596","2010-05-21 00:00:00.00","2455337.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","2010md_2010-05-21_00-00-00_P200_DBSP_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3171.4589627","10243.6696299","6.0240295291312","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21598","2010-06-11 00:00:00.00","2455358.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","2010md_2010-06-11_00-00-00_Lick-3m_KAST_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3445.7891082","10111.4351962","6.1833451651206","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","50460","2010-06-11 08:47:02.00","2455358.8659954","","Lick-3m","KAST","Io Kleiser, Jeffrey Silverman, Brad Cenko","Io Kleiser","UCB-SNDB","Y","UCB-SNDB","","SN_2010md_2010-06-11_08-47-02_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3440","10096","1.9993992189847","","2019MNRAS.482.1545S","SNR: 24.3451;","WIS_Bot1","2019-01-23 10:48:35"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21600","2010-07-07 00:00:00.00","2455384.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","2010md_2010-07-07_00-00-00_Lick-3m_KAST_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3518.8853646","10162.084309","6.2553662376648","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","50461","2010-07-07 07:55:12.00","2455384.83","","Lick-3m","KAST","Griffith, Io Kleiser","Io Kleiser","UCB-SNDB","Y","UCB-SNDB","","SN_2010md_2010-07-07_07-55-12_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3430","10164","1.999406175772","","2019MNRAS.482.1545S","SNR: 32.973;","WIS_Bot1","2019-01-23 10:48:35"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21603","2010-07-08 00:00:00.00","2455385.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","2010md_2010-07-08_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3501.3471428","9990.8745","6.1805022449524","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21605","2010-07-14 00:00:00.00","2455391.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","2010md_2010-07-14_00-00-00_P200_DBSP_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3550.6891936","9832.3604835","6.1585012646078","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21607","2010-07-19 00:00:00.00","2455396.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","2010md_2010-07-19_00-00-00_Lick-3m_KAST_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3626.0038354","9921.2160172","6.2452501803571","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","50462","2010-07-19 08:41:16.00","2455396.8619907","","Lick-3m","KAST","Christopher Griffith, Michael Kandrashoff","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","SN_2010md_2010-07-19_08-41-16_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3478","9930","1.9993802293152","","2019MNRAS.482.1545S","SNR: 22.0919;","WIS_Bot1","2019-01-23 10:48:35"
"7259","2010md","PTF10hgi","249.446","6.20897","SLSN-I","0.0982","21622","2010-07-20 00:00:00.00","2455397.5","","TNG","NICS","Unknown","Inserra","","Y","","","SN2010md_2010-07-20_00-00-00_TNG_NICS_None.ascii","","Object","High","","Air","Angstrom","1","Other","","3000","0","","","","","","","3395.36364","8836.60754","4.6625911739503","Inserra et al. 2013","2013ApJ...770..128I","Spectrum is corrected for reddening, de-deredshifted back to observed WLs [Data obtained from:Inserra] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-21 15:21:20"
