WAVE,FLUX,ERR,SKYBACK
15011.99,3.9147584E-18,2.4399096E-19,2.9499544E-17
15022.144,9.249581E-18,2.9541264E-19,3.823911E-17
15032.297,1.0306719E-17,3.894962E-19,6.0290654E-17
15042.45,1.11099794E-17,4.1284845E-19,6.3691206E-17
15052.604,1.3833231E-17,6.305055E-19,5.98962E-17
15062.757,7.934487E-18,2.6455805E-19,4.6030973E-17
15072.91,1.4980054E-17,4.353679E-19,3.0418187E-17
15083.063,1.2466663E-17,4.938535E-19,2.1984151E-17
15093.217,3.5261068E-18,2.3610038E-19,1.6657646E-17
15103.37,7.979724E-18,2.4760868E-19,1.4027666E-17
15113.523,4.9584184E-18,2.7800044E-19,1.1706895E-17
15123.677,7.483005E-18,1.9732297E-19,1.21184756E-17
15133.83,-5.5025E-19,2.9700982E-19,1.0570556E-17
15143.984,6.8892796E-18,1.9148454E-19,1.05805805E-17
15154.138,8.32594E-18,2.8160136E-19,1.372903E-17
15164.291,6.9123662E-18,2.4049702E-19,1.6316311E-17
15174.444,1.0332292E-17,3.5728932E-19,1.7949176E-17
15184.598,1.1132432E-18,1.6745618E-19,1.7682743E-17
15194.751,7.53959E-18,1.6519192E-19,1.5478338E-17
15204.904,-9.587573E-19,2.9399982E-19,1.9580973E-17
15215.058,6.903151E-19,2.777782E-19,3.1631605E-17
15225.211,2.1406514E-18,2.1136829E-19,4.188304E-17
15235.364,7.2660405E-18,5.2232873E-19,3.9083096E-17
15245.518,2.9863422E-18,1.6591745E-19,2.832246E-17
15255.671,8.888563E-18,2.8187206E-19,2.4826913E-17
15265.825,-3.4019354E-19,1.8193871E-19,2.314858E-17
15275.979,3.86117E-19,1.9111284E-19,2.2332115E-17
15286.132,3.43452E-18,2.0917409E-19,2.0983617E-17
15296.285,1.0679958E-17,4.195233E-19,2.2575589E-17
15306.438,-3.7818408E-19,2.4220037E-19,3.3140382E-17
15316.592,2.2598212E-18,2.7389392E-19,4.153645E-17
15326.745,1.170699E-17,3.7283488E-19,4.078456E-17
15336.898,1.7971538E-17,6.13662E-19,2.8613676E-17
15347.052,8.805624E-18,2.3071334E-19,1.9095162E-17
15357.205,0.0,-3.143826E-20,1.7803337E-17
15367.358,1.2590411E-18,1.6556285E-19,1.9222825E-17
15377.512,7.97227E-19,2.9696035E-19,2.0406097E-17
15387.665,3.2864258E-18,1.9251411E-19,2.241159E-17
15397.819,7.890071E-18,2.2019328E-19,2.5879702E-17
15407.973,8.723684E-19,1.7512701E-19,3.2112478E-17
15418.126,1.1007167E-18,3.2747897E-19,3.3038034E-17
15428.279,8.9101505E-18,2.229072E-19,2.6857042E-17
15438.433,1.0105773E-17,5.533927E-19,1.9971076E-17
15448.586,-1.4333007E-18,4.1464274E-19,1.4719672E-17
15458.739,8.289989E-19,2.38101E-19,1.3873992E-17
15468.893,4.172697E-18,2.4984031E-19,1.3058312E-17
15479.046,7.487612E-18,1.6470652E-19,1.5356355E-17
15489.199,2.3412144E-18,1.8765944E-19,1.734985E-17
15499.353,7.7411904E-18,2.6806377E-19,2.0100357E-17
15509.506,5.7891393E-18,3.1337435E-19,2.45151E-17
15519.659,7.290574E-18,2.5236686E-19,2.7608928E-17
15529.813,8.165601E-18,2.4574303E-19,3.11418E-17
15539.967,-5.2486693E-19,3.2337078E-19,2.6552872E-17
15550.12,9.0678715E-18,2.2321913E-19,2.0737487E-17
15560.273,1.7872091E-19,2.1190482E-19,2.0513037E-17
15570.427,9.584716E-18,2.1374311E-19,2.241014E-17
15580.58,5.050831E-18,2.014816E-19,2.4972148E-17
15590.733,1.22652315E-17,3.139736E-19,2.4174011E-17
15600.887,1.399787E-19,2.5748664E-19,2.4020637E-17
15611.04,-3.212987E-19,3.6625916E-19,2.3184885E-17
15621.193,6.5725543E-19,3.6200931E-19,2.778495E-17
15631.347,3.3214534E-18,3.4671777E-19,3.166377E-17
15641.5,-1.0865604E-18,3.556277E-19,3.5799007E-17
15651.654,6.2897362E-18,2.6030766E-19,2.972175E-17
15661.808,4.2262717E-18,2.2054008E-19,2.1381E-17
15671.961,9.899747E-18,4.8469806E-19,1.791501E-17
15682.114,1.0549508E-17,2.9141658E-19,1.7518972E-17
15692.268,1.236983E-18,3.0645667E-19,1.5865177E-17
15702.421,-7.8679517E-19,2.1135718E-19,1.6334273E-17
15712.574,1.6276984E-18,2.2469754E-19,1.4168618E-17
15722.728,-7.201444E-20,2.4913152E-19,1.3307285E-17
15732.881,1.1435562E-17,3.7551715E-19,1.3604807E-17
15743.034,4.1337367E-18,1.9751111E-19,1.4215215E-17
15753.1875,3.8364294E-18,2.5143535E-19,1.2097255E-17
15763.341,4.1492575E-18,2.3646728E-19,1.3205949E-17
15773.494,6.066454E-18,2.9156085E-19,1.5891274E-17
15783.648,7.0162775E-18,2.97087E-19,1.7888722E-17
15793.802,-1.1960634E-19,2.6097137E-19,2.5450142E-17
15803.955,7.20124E-19,3.0826935E-19,4.7718134E-17
15814.108,1.339004E-18,2.451924E-19,7.160913E-17
15824.262,5.3497062E-18,2.2630465E-19,7.843402E-17
15834.415,2.2595609E-18,2.9737815E-19,6.666593E-17
15844.568,1.1555727E-17,3.9676165E-19,4.932667E-17
15854.722,2.6846449E-18,3.3506186E-19,3.3713496E-17
15864.875,7.824429E-18,2.3094423E-19,2.4513006E-17
15875.028,5.211005E-18,2.2355936E-19,1.7739083E-17
15885.182,7.369741E-18,2.4975798E-19,1.4268267E-17
15895.335,2.4765237E-19,3.8594957E-19,1.4277465E-17
15905.489,3.20714E-18,2.265141E-19,1.0016639E-17
15915.643,6.1931658E-18,1.6917195E-19,1.1346873E-17
15925.796,1.7349694E-18,3.044573E-19,1.05567735E-17
15935.949,1.9339797E-18,2.3641685E-19,1.0724067E-17
15946.103,3.3151467E-18,2.4362377E-19,1.5371696E-17
15956.256,2.3182431E-18,2.1604536E-19,1.9832866E-17
15966.409,4.9747726E-18,1.9112575E-19,1.8986935E-17
15976.5625,4.0321026E-18,2.6236106E-19,1.5416784E-17
15986.716,8.910343E-18,2.9942E-19,1.504698E-17
15996.869,1.9573552E-18,3.7733754E-19,2.4020377E-17
16007.022,8.5350703E-19,3.2632012E-19,4.21074E-17
16017.176,5.8539336E-18,3.1099698E-19,5.2990636E-17
16027.329,5.1396177E-18,2.3828967E-19,4.718364E-17
16037.483,4.5743423E-18,3.1969585E-19,3.110352E-17
16047.637,2.8735076E-18,2.0953272E-19,2.4504999E-17
16057.79,1.4118102E-18,2.5953544E-19,2.939389E-17
16067.943,4.515243E-19,2.2177095E-19,2.9697392E-17
16078.097,4.4671153E-18,3.527641E-19,2.5235285E-17
16088.25,3.5874087E-18,2.3450183E-19,2.107697E-17
16098.403,8.549979E-18,3.106974E-19,3.4197658E-17
16108.557,0.0,-2.814851E-20,4.6974892E-17
16118.71,4.0899746E-19,2.812763E-19,4.637471E-17
16128.863,6.2688176E-18,2.5214388E-19,4.277213E-17
16139.017,6.915297E-18,2.7658922E-19,2.5698619E-17
16149.17,3.971829E-18,3.7008404E-19,1.7313936E-17
16159.323,1.3162034E-17,6.9332583E-19,1.5535688E-17
16169.478,1.31771294E-17,5.940736E-19,1.976478E-17
16179.631,1.0907754E-17,4.716307E-19,2.1307512E-17
16189.784,1.2554116E-17,4.8423076E-19,2.2679175E-17
16199.9375,1.3857513E-18,2.0548804E-19,2.6892016E-17
16210.091,2.184602E-18,2.0466954E-19,3.7571334E-17
16220.244,8.370245E-18,2.171497E-19,4.551644E-17
16230.397,1.5293256E-17,5.3416346E-19,4.183258E-17
16240.551,5.158669E-18,2.3935986E-19,2.8332885E-17
16250.704,3.784538E-18,4.3103767E-19,1.7450652E-17
16260.857,7.185823E-18,2.0928002E-19,1.4874095E-17
16271.011,7.1227125E-18,2.9032103E-19,1.3954166E-17
16281.164,-7.4844894E-19,2.0431581E-19,1.36255035E-17
16291.318,5.8634024E-18,4.1596543E-19,1.6756274E-17
16301.472,6.063165E-18,2.0257E-19,1.729931E-17
16311.625,1.4239725E-18,2.7401482E-19,1.8166261E-17
16321.778,1.9890746E-19,2.0372883E-19,2.5680376E-17
16331.932,8.530548E-18,2.360621E-19,2.7799853E-17
16342.085,3.7269346E-18,1.9325719E-19,2.8734187E-17
16352.238,9.692817E-18,2.4762324E-19,2.6544128E-17
16362.392,6.781393E-18,2.5060088E-19,2.4144803E-17
16372.545,-2.714465E-20,1.9750855E-19,2.3736997E-17
16382.698,-6.1220583E-19,3.2830204E-19,2.0504666E-17
16392.852,5.816523E-18,2.1446582E-19,2.0147852E-17
16403.006,3.3478872E-18,2.3349678E-19,1.9629406E-17
16413.158,0.0,-2.6348733E-20,2.5215292E-17
16423.312,6.739963E-19,2.82857E-19,2.9641974E-17
16433.465,4.739338E-18,4.965284E-19,3.0243513E-17
16443.62,3.849834E-18,2.0537872E-19,2.7734125E-17
16453.771,-1.1162224E-18,2.977818E-19,2.5088979E-17
16463.926,2.7052535E-18,1.9646305E-19,2.9576852E-17
16474.078,4.8928515E-18,1.9571402E-19,3.4249225E-17
16484.232,2.7728247E-19,2.1905867E-19,3.5026367E-17
16494.387,8.16914E-19,2.5473583E-19,3.2168872E-17
16504.54,0.0,-2.5763818E-20,2.3164333E-17
16514.693,8.2040156E-19,2.1359277E-19,1.7462939E-17
16524.846,-3.1312777E-20,3.0313479E-19,1.6727855E-17
16535.0,3.1405742E-18,2.165414E-19,1.7124377E-17
16545.152,4.7672267E-18,2.4254706E-19,1.7307783E-17
16555.307,1.9720204E-19,2.3570302E-19,1.4576324E-17
16565.459,5.327357E-18,1.8823472E-19,1.2199233E-17
16575.613,3.7100692E-19,1.8506857E-19,1.1454452E-17
16585.766,4.7129604E-18,1.4711623E-19,1.0403401E-17
16595.92,3.5986273E-18,2.2731743E-19,1.1697216E-17
16606.072,4.74948E-18,1.8168864E-19,1.0875079E-17
16616.227,6.371947E-18,1.9720259E-19,9.135757E-18
16626.38,2.3101105E-18,1.7868603E-19,9.244969E-18
16636.533,3.254255E-18,1.8264467E-19,1.0638883E-17
16646.688,3.8322757E-18,1.8662011E-19,1.2889985E-17
16656.84,1.4438784E-18,2.37523E-19,2.444275E-17
16666.994,2.401616E-18,2.2112533E-19,5.283754E-17
16677.146,6.981117E-18,2.3704662E-19,7.6177094E-17
16687.3,2.8278687E-18,2.1122507E-19,7.254753E-17
16697.453,4.226114E-18,2.0411075E-19,6.0210834E-17
16707.607,9.280464E-18,3.587121E-19,4.3645163E-17
16717.76,2.2664751E-19,2.1741003E-19,3.1540503E-17
16727.914,2.5611063E-18,2.0828824E-19,2.2053069E-17
16738.066,3.2394018E-18,1.5108034E-19,1.7701065E-17
16748.22,5.63292E-18,1.6938383E-19,1.3820614E-17
16758.375,2.8745227E-18,2.183787E-19,1.1732721E-17
16768.527,4.4802828E-18,1.4183422E-19,9.9783476E-18
16778.682,4.674521E-18,2.0360491E-19,1.07297105E-17
16788.834,2.1374355E-18,1.6821236E-19,1.00750086E-17
16798.988,1.9809642E-18,1.5849083E-19,9.430933E-18
16809.14,1.1844382E-18,1.9351134E-19,1.2375391E-17
16819.295,3.1847517E-18,1.9324777E-19,1.597732E-17
16829.447,9.823188E-18,2.0807555E-19,1.5123497E-17
16839.602,1.7147582E-18,1.6780477E-19,1.4438912E-17
16849.754,7.355931E-20,2.0954889E-19,1.21401105E-17
16859.908,-5.8106745E-19,2.031323E-19,1.2717E-17
16870.062,2.461468E-18,1.607119E-19,2.4635801E-17
16880.215,4.75797E-18,1.7099995E-19,4.3906793E-17
16890.37,8.46924E-18,3.976872E-19,5.1788925E-17
16900.521,-6.270055E-19,2.920344E-19,4.813132E-17
16910.676,3.949268E-18,2.6604825E-19,3.059716E-17
16920.828,2.4587383E-18,1.8433829E-19,2.4097942E-17
16930.982,8.828937E-19,1.5271666E-19,2.3329441E-17
16941.135,6.5286508E-18,4.0438022E-19,2.5162717E-17
16951.29,2.7432744E-18,2.8982447E-19,2.4424071E-17
16961.441,5.0183112E-18,1.9052889E-19,1.8102087E-17
16971.596,5.6358578E-18,2.5140606E-19,1.8944474E-17
16981.748,-2.6906164E-19,1.9760661E-19,3.7156745E-17
16991.902,3.7683875E-18,1.8732596E-19,5.12933E-17
17002.057,1.5717237E-19,1.770794E-19,4.7006067E-17
17012.209,3.5591725E-18,1.7725007E-19,3.779692E-17
17022.363,5.705139E-18,1.5427561E-19,2.020506E-17
17032.516,2.7648897E-18,1.9446286E-19,1.7115308E-17
17042.67,5.2049426E-18,2.6073844E-19,1.6006405E-17
17052.822,9.378417E-19,1.5217268E-19,2.0385989E-17
17062.977,2.6601376E-18,1.9627623E-19,2.403447E-17
17073.129,8.165134E-20,1.9165814E-19,2.2772E-17
17083.283,3.245058E-18,1.641097E-19,2.3388864E-17
17093.436,9.7459636E-18,1.8264727E-19,2.8474154E-17
17103.59,-6.9567647E-19,1.8990422E-19,3.950556E-17
17113.742,2.1743745E-18,1.4713735E-19,3.9596114E-17
17123.896,2.8945022E-19,1.9107898E-19,3.2032927E-17
17134.05,2.5375593E-18,1.3473522E-19,2.0389769E-17
17144.203,4.202876E-18,1.3113075E-19,1.5500001E-17
17154.357,9.738813E-19,2.795667E-19,1.4125712E-17
17164.51,6.282793E-18,1.8790548E-19,1.3718501E-17
17174.664,6.9387906E-19,1.5107712E-19,1.4696185E-17
17184.816,5.3650095E-18,1.5689506E-19,1.7629993E-17
17194.97,1.4588079E-18,1.8189008E-19,1.9867317E-17
17205.123,1.970431E-18,1.9095315E-19,1.9711032E-17
17215.277,7.99737E-18,2.6274645E-19,2.1944478E-17
17225.43,4.774182E-19,1.7626317E-19,2.7266225E-17
17235.584,4.856691E-18,1.7524274E-19,2.6114977E-17
17245.736,1.2312936E-18,1.8008729E-19,2.6461139E-17
17255.89,8.6565056E-19,1.510188E-19,1.999333E-17
17266.045,5.4246773E-18,1.8877013E-19,1.7874705E-17
17276.197,3.9619916E-18,1.8229409E-19,1.6267165E-17
17286.352,5.673826E-18,1.8562525E-19,1.5081705E-17
17296.504,7.003669E-18,2.3783903E-19,1.597145E-17
17306.658,3.934911E-18,1.5244935E-19,1.8958427E-17
17316.81,0.0,-2.3565972E-20,2.2491813E-17
