WAVE,FLUX,ERR,SKYBACK
3340.5854,8.974858E-16,1.3360763E-16,1.0393389E-15
3344.6667,4.3237848E-16,1.3305015E-16,1.9274588E-15
3348.748,4.470796E-16,1.2895379E-16,1.8381964E-15
3352.8296,4.446498E-16,1.2710602E-16,1.9609804E-15
3356.911,5.9406825E-16,1.2209899E-16,1.601496E-15
3360.9924,2.6605623E-16,1.1534713E-16,1.6601716E-15
3365.0737,7.3859817E-16,1.150365E-16,1.3635172E-15
3369.1553,5.135949E-16,1.0890982E-16,1.2794282E-15
3373.2366,2.7034997E-16,1.0412316E-16,1.4199567E-15
3377.3179,3.281987E-16,1.0151613E-16,1.3378061E-15
3381.3994,4.2438031E-16,1.002841E-16,1.3235937E-15
3385.4807,5.0763706E-16,9.776542E-17,1.1750979E-15
3389.5623,3.9138706E-16,9.3622876E-17,1.1590397E-15
3393.6436,6.4838006E-16,9.4148526E-17,1.1014406E-15
3397.725,4.1130475E-16,8.96864E-17,1.1453843E-15
3401.8064,6.073681E-16,9.274645E-17,1.3829732E-15
3405.8877,3.9297445E-16,8.752911E-17,1.3059298E-15
3409.9692,3.1428056E-16,8.5164187E-17,1.3357571E-15
3414.0505,6.3261545E-16,8.4670327E-17,1.0467582E-15
3418.132,4.988968E-16,8.377955E-17,1.3214295E-15
3422.2134,4.3693827E-16,7.952471E-17,1.093065E-15
3426.295,2.9752988E-16,7.813739E-17,1.26432E-15
3430.3762,3.6005399E-16,7.801617E-17,1.3288694E-15
3434.4575,5.6685494E-16,7.9397077E-17,1.3508371E-15
3438.539,3.2677681E-16,7.576073E-17,1.3935293E-15
3442.6204,2.900953E-16,7.426058E-17,1.4169488E-15
3446.702,5.366829E-16,7.38648E-17,1.2101126E-15
3450.7832,4.4988175E-16,7.1398055E-17,1.1571151E-15
3454.8647,3.6894595E-16,6.7644667E-17,1.0308947E-15
3458.946,5.6070347E-16,6.9741285E-17,1.0695675E-15
3463.0273,4.6768114E-16,6.96312E-17,1.2743943E-15
3467.109,5.4274245E-16,6.9401684E-17,1.2835618E-15
3471.1902,5.4116623E-16,6.7982024E-17,1.262344E-15
3475.2717,3.77828E-16,6.562202E-17,1.2733436E-15
3479.353,4.9898155E-16,6.4094156E-17,1.0600784E-15
