"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18758","2015-02-17 00:00:00.00","2457070.5","","ESO-NTT","EFOSC2-NTT","LeGuillou,Baumont, Mitra","Nicholl","","Y","","","2015bn_2015-02-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","900","0","","","","","","","3645.9899902344","9240.0347862244","5.5113741832414","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18760","2015-02-18 00:00:00.00","2457071.5","","Magellan-Baade","IMACS","Lunnan,Blanchard","Chornock","","Y","","","2015bn_2015-02-18_00-00-00_Magellan-Baade_IMACS_None.txt","","Object","High","","Air","Angstrom","1","Other","","900","0","","","","","","","3690","9460","1.2497292614252","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","PS15ae","173.423125","0.725972","SLSN-I","0.1136","73448","2015-02-18 06:01:50.00","2457071.7512731","","ESO-NTT","EFOSC2-NTT","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","PS15ae_2015-02-18_06-01-50_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","PS15ae_2015-02-18_06-01-50_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","900","","","","","","","","3643.7588","9241.556","5.5150711330049","","","Released as part of DR3","WIS_Bot1","2023-05-04 13:56:43"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18759","2015-02-18 12:00:00.00","2457072","","ESO-NTT","EFOSC2-NTT","L. Le Guillou","N. Chotard","","Y","","","2015bn_2015-02-18_12-00-00_ESO-NTT_EFOSC2-NTT_None.asci","","Object","","","Air","Angstrom","1","Other","","900","0","","","","","","","3642.04785156","9237.22745228","5.5124922174581","","","[TNS Source Group: Pan-STARRS1; Sender: sjsmartt] Same spectrum as submitted to WISeREP by PESSTO [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18762","2015-02-24 00:00:00.00","2457077.5","","ESO-NTT","Sofi","LeGuillou,Baumont,Mitra","Nicholl","","Y","","","2015bn_2015-02-24_00-00-00_ESO-NTT_Sofi_None.txt","","Object","High","","Air","Angstrom","1","Other","","4800","0","","","","","","","8417.7065443719","14799.804642111","6.2325176735737","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18761","2015-02-24 00:00:00.00","2457077.5","","ANU-2.3m","WiFeS","Childress","Childress","","Y","","","2015bn_2015-02-24_00-00-00_ANU-2.3m_WiFeS_None.txt","","Object","High","","Air","Angstrom","1","Other","","1200","0","","","","","","","3500","9294.273644","1.0277179219581","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","","173.423125","0.725972","SLSN-I","0.1136","18763","2015-02-25 00:00:00.00","2457078.5","","ESO-NTT","EFOSC2-NTT","LeGuillou,Baumont, Mitra","Nicholl","","Y","","","2015bn_2015-02-25_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt","","Object","High","","Air","Angstrom","1","Other","","1800","0","","","","","","","3342.5388183594","9984.2587890626","4.0746748286523","Nicholl et al. 2016","2016ApJ...826...39N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-02-23 15:54:11"
"6284","2015bn","PS15ae","173.423125","0.725972","SLSN-I","0.1136","73447","2015-02-25 06:44:58.00","2457078.7812269","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","PS15ae_2015-02-25_06-44-58_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","PS15ae_2015-02-25_06-44-58_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","4800","","","","","","","","9370.672","16481.58","6.94424609375","","","Released as part of DR3","WIS_Bot1","2023-05-04 13:56:43"
"6284","2015bn","PS15ae","173.423125","0.725972","SLSN-I","0.1136","73446","2015-02-25 08:27:22.00","2457078.852338","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","PS15ae_2015-02-25_08-27-22_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","PS15ae_2015-02-25_08-27-22_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","15011.99","25398.916","10.143482421875","","","Released as part of DR3","WIS_Bot1","2023-05-04 13:56:43"
"6284","2015bn","PS15ae","173.423125","0.725972","SLSN-I","0.1136","73445","2015-02-26 06:46:27.00","2457079.7822569","","ESO-NTT","EFOSC2-NTT","Sylvain Baumont","Pierre-Francois Leget","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","PS15ae_2015-02-26_06-46-27_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","PS15ae_2015-02-26_06-46-27_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3339.8767","7462.3164","4.0775862512364","","","Released as part of DR3","WIS_Bot1","2023-05-04 13:56:43"
