"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3032","2016-05-20 22:14:04.00","2457529.4264352","","NOT","ALFOSC","T. Kangas","T. Kangas","","Y","","","2016eay_2016-05-20_22-14-04_NOT_ALFOSC_None.txt","2016eay_2016-05-20_22-14-04_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","1800","1","","","","g4","","","3503.39","9738.7980000001","3.4815231714127","Kangas et al. 2017","2017MNRAS.469.1246K","[Data obtained from:Kangas, T.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3033","2016-05-24 00:08:02.00","2457532.5055787","","NOT","ALFOSC","S. Mattila","T. Kangas","","Y","","","2016eay_2016-05-24_00-08-02_NOT_ALFOSC_None.txt","2016eay_2016-05-24_00-08-02_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","1800","1","","","","g4","","","3403.872","9706.828","3.3615765333333","Kangas et al. 2017","2017MNRAS.469.1246K","[Data obtained from:Kangas, T.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","58936","2016-05-27 00:00:00.00","2457535.5","","P200","DBSP","Lin Yan","","","Y","","","2016eay_2016-05-27_P200_DBSP_None.txt","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3200.047","10236.677","1.3552831278891","","2017ApJ...840...57Y","","Dr Lin Yan","2020-10-28 18:38:24"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3034","2016-05-31 00:00:00.00","2457539.5","","FLWO-1.5m","FAST","Berlind","Nicholl","","Y","","","2016eay_2016-05-31_00-00-00_FLWO-1.5m_FAST_None.txt","","Object","","","Air","Angstrom","1","Other","","1200","0","","","","","","","3476.6391601562","7418.3075561524","1.470223198805","Nicholl et al. 2017","2017ApJ...835L...8N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","58935","2016-05-31 00:00:00.00","2457539.5","","P200","DBSP","Lin Yan","Lin Yan","","Y","","","2016eay_2016-05-31_P200_DBSP_None.txt","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3100.337","10236.989","1.341728144388","","2017ApJ...840...57Y","","Dr Lin Yan","2020-10-28 18:38:24"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","58927","2016-06-02 00:00:00.00","2457541.5","","HST","STIS","Lin Yan, R. Quimby","","","Y","","","2016eay_2016-06-02_HST_STIS_None.txt","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","1026.721","3146.2109982906","0.17963301960256","Lin Yan","2017ApJ...840...57Y","","Dr Lin Yan","2020-10-28 18:13:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3035","2016-06-04 00:00:00.00","2457543.5","","FLWO-1.5m","FAST","Berlind","Nicholl","","Y","","","2016eay_2016-06-04_00-00-00_FLWO-1.5m_FAST_None.txt","","Object","","","Air","Angstrom","1","Other","","2400","0","","","","","","","3477.3986816406","7420.02734375","1.4705813734089","Nicholl et al. 2017","2017ApJ...835L...8N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3036","2016-06-06 00:00:00.00","2457545.5","","MMT","MMT-Blue","Blanchard, Nicholl","Nicholl","","Y","","","2016eay_2016-06-06_00-00-00_MMT_MMT-Blue_None.txt","","Object","","","Air","Angstrom","1","Other","","1200","0","","","","","","","3381","8605.0498046875","1.9492723151819","Nicholl et al. 2017","2017ApJ...835L...8N","[Data obtained from:Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","58934","2016-06-07 00:00:00.00","2457546.5","","Keck1","LRIS","Lin Yan","Lin Yan","","Y","","","2016eay_2016-06-07_Keck1_LRIS_None.txt","","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3074.2422","10284.7061","1.4116021730619","","2017ApJ...840...57Y","","Dr Lin Yan","2020-10-28 18:38:24"
"970","2016eay","","180.715417","44.257611","SLSN-I","0.1013","3037","2016-06-13 23:58:12.00","2457553.49875","","NOT","ALFOSC","N. Elias-Rosa","T. Kangas","","Y","","","2016eay_2016-06-13_23-58-12_NOT_ALFOSC_None.txt","2016eay_2016-06-13_23-58-12_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","1500","1.3","","","","g4","","","3405.532","9660.1170000001","3.3518676312969","Kangas et al. 2017","2017MNRAS.469.1246K","[Data obtained from:Kangas, T.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2016-07-22 11:26:37"
