% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
3596.00   5.50163460   0.16485570
3598.00   5.59014225   0.16583675
3600.00   5.40639257   0.16334531
3602.00   5.57801533   0.16211347
3604.00   5.45983982   0.16057622
3606.00   5.38846016   0.16194442
3608.00   5.32452345   0.16034448
3610.00   5.55973387   0.16322657
3612.00   5.63000345   0.16577913
3614.00   5.55747223   0.16486287
3616.00   5.66725206   0.16225091
3618.00   5.41758871   0.16030304
3620.00   5.62330580   0.16253664
3622.00   5.68691921   0.16337377
3624.00   5.55522394   0.16241504
3626.00   5.55626392   0.15922163
3628.00   5.73777723   0.16094385
3630.00   5.55659771   0.16054794
3632.00   5.72131777   0.16120684
3634.00   5.72076559   0.16093485
3636.00   5.44676256   0.15834354
3638.00   5.67195082   0.15788032
3640.00   5.58013773   0.16057421
3642.00   5.61638689   0.15990752
3644.00   5.74204063   0.16046035
3646.00   5.76975489   0.16354647
3648.00   5.72365761   0.17221299
3650.00   5.62850475   0.17070340
3652.00   5.66522074   0.16683182
3654.00   5.77515888   0.16382913
3656.00   5.70615625   0.15795849
3658.00   5.68067217   0.15525913
3660.00   5.84508944   0.15744476
3662.00   5.61526775   0.15711102
3664.00   5.56408739   0.15293778
3666.00   5.56240940   0.14946733
3668.00   5.67997503   0.14836307
3670.00   5.55451632   0.14725335
3672.00   5.58919048   0.14728636
3674.00   5.40624475   0.14494984
3676.00   5.58651447   0.14552048
3678.00   5.45232391   0.14294916
3680.00   5.50530910   0.14344199
3682.00   5.57845974   0.14380993
3684.00   5.75567865   0.14423759
3686.00   5.65104294   0.14007491
3688.00   5.55908680   0.14261083
3690.00   5.57318830   0.14310536
3692.00   5.61602783   0.14334232
3694.00   5.60106039   0.14204225
3696.00   5.69010782   0.14027736
3698.00   5.50084686   0.14175886
3700.00   5.59496164   0.14134686
3702.00   5.46584272   0.13951041
3704.00   5.59164476   0.13832869
3706.00   5.52812862   0.13701549
3708.00   5.37426853   0.13517031
3710.00   5.39925098   0.13589120
3712.00   5.47367764   0.13323425
3714.00   5.52496672   0.13314031
3716.00   5.42352915   0.13464160
3718.00   5.48367167   0.13283035
3720.00   5.28009415   0.12871118
3722.00   5.40866709   0.13086918
3724.00   5.35852814   0.13115326
3726.00   5.33285952   0.13080372
3728.00   5.34256124   0.12979768
3730.00   5.25297689   0.12748714
3732.00   5.31409502   0.12718289
3734.00   5.22730732   0.12475634
3736.00   5.30149651   0.12586875
3738.00   5.28169060   0.12703922
3740.00   5.31554985   0.12360440
3742.00   5.43143320   0.12671126
3744.00   5.17364645   0.12274625
3746.00   5.17106724   0.12214877
3748.00   5.16484022   0.12147900
3750.00   5.13107538   0.12163828
3752.00   5.16245413   0.12288546
3754.00   5.20991755   0.12348783
3756.00   4.97168159   0.12011184
3758.00   5.26164436   0.12175873
3760.00   5.27652311   0.12146622
3762.00   5.28463221   0.12092297
3764.00   5.29740572   0.12064200
3766.00   5.14666986   0.11896674
3768.00   5.19503021   0.11940607
3770.00   5.23929596   0.13044912
3772.00   5.36429310   0.11926632
3774.00   5.15120459   0.11880180
3776.00   5.16048670   0.11826923
3778.00   5.11454487   0.11765627
3780.00   4.98354435   0.11269286
3782.00   5.04703236   0.11624277
3784.00   5.01100111   0.11471138
3786.00   4.94618750   0.11298921
3788.00   5.08431530   0.11362725
3790.00   4.95896816   0.11239044
3792.00   4.93803501   0.11147228
3794.00   4.97635126   0.11081620
3796.00   4.99791336   0.10946677
3798.00   4.94180536   0.10894844
3800.00   4.86234140   0.10929910
3802.00   4.85894775   0.10933340
3804.00   4.80989647   0.10853290
3806.00   4.94399357   0.10860985
3808.00   4.91937876   0.10809054
3810.00   4.98933268   0.10853132
3812.00   5.01466227   0.10800034
3814.00   4.92611742   0.10617604
3816.00   4.86225939   0.10537043
3818.00   5.02256107   0.10612126
3820.00   4.90433931   0.10440281
3822.00   5.00354147   0.10484129
3824.00   5.02808762   0.10436343
3826.00   4.89399529   0.10301884
3828.00   4.97009754   0.10410751
3830.00   5.01648045   0.10397520
3832.00   4.96929741   0.10269523
3834.00   5.04055882   0.10309616
3836.00   5.00296164   0.10252398
3838.00   4.94949913   0.10263865
3840.00   5.04042149   0.10394208
3842.00   5.02687836   0.10420115
3844.00   5.07425642   0.10373054
3846.00   5.03205729   0.10223902
3848.00   4.90953112   0.10073072
3850.00   4.95452929   0.10047193
3852.00   5.01784754   0.10112295
3854.00   5.04613543   0.10066082
3856.00   4.99439096   0.09951960
3858.00   5.04710913   0.09908164
3860.00   4.97848606   0.09877244
3862.00   4.97372913   0.09961804
3864.00   5.06094980   0.09968241
3866.00   5.10784674   0.09975091
3868.00   5.05540943   0.09849738
3870.00   5.06505728   0.09807190
3872.00   5.00463295   0.09834578
3874.00   4.99728489   0.09895595
3876.00   4.98322105   0.09783657
3878.00   4.99755764   0.09685875
3880.00   5.02827787   0.09674243
3882.00   4.89261293   0.09566502
3884.00   4.93327332   0.09552401
3886.00   4.92162991   0.09483062
3888.00   4.88627434   0.09466832
3890.00   5.07969332   0.09654706
