#Wavelength(microns)  Flux(Watts/cm2/microns)
0.467100 1.00973e-018
0.467200 7.40237e-019
0.467300 4.77022e-019
0.467400 4.27517e-019
0.467500 4.67569e-019
0.467600 4.96560e-019
0.467700 4.89973e-019
0.467800 4.85730e-019
0.467900 3.91327e-019
0.468000 2.56607e-019
0.468100 1.89409e-019
0.468200 4.09352e-019
0.468300 6.23319e-019
0.468400 5.71481e-019
0.468500 4.02711e-019
0.468600 2.80019e-019
0.468700 3.61364e-019
0.468800 4.40887e-019
0.468900 5.20230e-019
0.469000 6.02307e-019
0.469100 6.40854e-019
0.469200 4.75294e-019
0.469300 3.12204e-019
0.469400 2.44970e-019
0.469500 2.23044e-019
0.469600 2.12362e-019
0.469700 2.50469e-019
0.469800 2.87865e-019
0.469900 3.46049e-019
0.470000 4.13246e-019
0.470100 4.59147e-019
0.470200 4.15642e-019
0.470300 3.72875e-019
0.470400 3.42132e-019
0.470500 3.16981e-019
0.470600 2.86006e-019
0.470700 2.28977e-019
0.470800 1.72903e-019
0.470900 2.97970e-019
0.471000 5.00247e-019
0.471100 6.53254e-019
0.471200 6.17905e-019
0.471300 5.83064e-019
0.471400 4.76053e-019
0.471500 3.40112e-019
0.471600 2.45517e-019
0.471700 3.02090e-019
0.471800 3.57883e-019
0.471900 3.81409e-019
0.472000 3.92174e-019
0.472100 3.98295e-019
0.472200 3.88661e-019
0.472300 3.79191e-019
0.472400 3.63671e-019
0.472500 3.46014e-019
0.472600 3.43192e-019
0.472700 3.88029e-019
0.472800 4.32507e-019
0.472900 4.37147e-019
0.473000 4.28090e-019
0.473100 4.14775e-019
0.473200 3.88850e-019
0.473300 3.63203e-019
0.473400 3.51612e-019
0.473500 3.44508e-019
0.473600 3.37586e-019
0.473700 3.31092e-019
0.473800 3.24662e-019
0.473900 4.19074e-019
0.474000 5.40708e-019
0.474100 6.20828e-019
0.474200 6.02533e-019
0.474300 5.84437e-019
0.474400 5.47306e-019
0.474500 5.05845e-019
0.474600 4.36706e-019
0.474700 3.07344e-019
0.474800 1.79009e-019
0.474900 2.38255e-019
0.475000 3.35806e-019
0.475100 4.30133e-019
0.475200 5.18956e-019
0.475300 6.07072e-019
0.475400 5.62897e-019
0.475500 4.96722e-019
0.475600 4.48139e-019
0.475700 4.29306e-019
0.475800 4.10617e-019
0.475900 3.72133e-019
0.476000 3.31301e-019
0.476100 3.31773e-019
0.476200 3.94072e-019
0.476300 4.56029e-019
0.476400 4.42048e-019
0.476500 4.21015e-019
0.476600 4.21817e-019
0.476700 4.51240e-019
0.476800 4.80448e-019
0.476900 4.52631e-019
0.477000 4.21728e-019
0.477100 4.12753e-019
0.477200 4.28758e-019
0.477300 4.44640e-019
0.477400 4.26391e-019
0.477500 4.07613e-019
0.477600 3.71387e-019
0.477700 3.17943e-019
0.477800 2.66686e-019
0.477900 3.10471e-019
0.478000 3.53882e-019
0.478100 3.84473e-019
0.478200 4.04269e-019
0.478300 4.16101e-019
