# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
3622.00   0.21326475   0.04538484
3624.00   0.23897454   0.04470625
3626.00   0.23684613   0.04523526
3628.00   0.28469124   0.04570751
3630.00   0.33056492   0.04631170
3632.00   0.27618343   0.04604148
3634.00   0.26226568   0.04650415
3636.00   0.21664745   0.04507581
3638.00   0.17662957   0.04422582
3640.00   0.18114129   0.04465313
3642.00   0.33703578   0.04629061
3644.00   0.27471644   0.04535072
3646.00   0.25623053   0.04332384
3648.00   0.30173352   0.04683761
3650.00   0.19870548   0.04711115
3652.00   0.30236408   0.04704819
3654.00   0.20115095   0.04507464
3656.00   0.30786884   0.04468979
3658.00   0.32714286   0.04427140
3660.00   0.26553974   0.04442658
3662.00   0.24018782   0.04449149
3664.00   0.28289521   0.04364855
3666.00   0.22919744   0.04136607
3668.00   0.37954864   0.04115943
3670.00   0.28724298   0.04087880
3672.00   0.29405075   0.04057936
3674.00   0.22951172   0.03953778
3676.00   0.32600883   0.03983125
3678.00   0.27002248   0.03889735
3680.00   0.28578970   0.03797716
3682.00   0.24795254   0.03693613
3684.00   0.25552985   0.03769477
3686.00   0.30267701   0.03739114
3688.00   0.21030718   0.03687731
3690.00   0.22743011   0.03801772
3692.00   0.20924108   0.03740031
3694.00   0.28268263   0.03803511
3696.00   0.29977560   0.03817952
3698.00   0.33861533   0.04021093
3700.00   0.25208241   0.03967907
3702.00   0.26703960   0.03941016
3704.00   0.33799782   0.03900938
3706.00   0.25004831   0.03731815
3708.00   0.21839793   0.03640920
3710.00   0.29449275   0.03757299
3712.00   0.24245766   0.03812599
3714.00   0.24357274   0.03696753
3716.00   0.17008714   0.03603652
3718.00   0.28145325   0.03617416
3720.00   0.29694372   0.03467023
3722.00   0.22601981   0.03392050
3724.00   0.24506609   0.03506492
3726.00   0.18688697   0.03450580
3728.00   0.23205182   0.03538926
3730.00   0.26098877   0.03629731
3732.00   0.24758971   0.03587975
3734.00   0.28678066   0.03603061
3736.00   0.26306188   0.03576188
3738.00   0.25637189   0.03739420
3740.00   0.20301092   0.03751605
3742.00   0.23476790   0.03570604
3744.00   0.26608515   0.03477326
3746.00   0.26022872   0.03383396
3748.00   0.25294167   0.03372429
3750.00   0.26884806   0.03486058
3752.00   0.21223038   0.03419738
3754.00   0.21162172   0.03463506
3756.00   0.30465925   0.03461852
3758.00   0.20824586   0.03253508
3760.00   0.27692425   0.03260978
3762.00   0.21734317   0.03211998
3764.00   0.26707560   0.03236636
3766.00   0.25076404   0.03206357
3768.00   0.34290749   0.03316287
3770.00   0.21120302   0.03242074
3772.00   0.31488502   0.03362164
3774.00   0.28550580   0.03308147
3776.00   0.30186749   0.03392111
3778.00   0.33846176   0.03405720
3780.00   0.26385939   0.03234626
3782.00   0.23890054   0.03264176
3784.00   0.29374030   0.03258009
3786.00   0.24459422   0.03158645
3788.00   0.30184501   0.03183987
3790.00   0.33268040   0.03273128
3792.00   0.32447043   0.03227642
3794.00   0.32689866   0.03159210
3796.00   0.31341633   0.03082276
3798.00   0.32685924   0.03056243
3800.00   0.30525863   0.03092249
3802.00   0.32981825   0.03155496
3804.00   0.28857464   0.03080001
3806.00   0.30963615   0.03028666
3808.00   0.26647800   0.03124839
3810.00   0.27551043   0.03060063
3812.00   0.23719260   0.03039884
3814.00   0.30261332   0.03097709
3816.00   0.23225407   0.02962095
3818.00   0.30097190   0.03017912
3820.00   0.29106522   0.02971613
3822.00   0.29462430   0.02946207
3824.00   0.31710398   0.02937512
3826.00   0.29465991   0.02929110
3828.00   0.33743811   0.03110407
3830.00   0.34252298   0.03179994
3832.00   0.33274448   0.03084311
3834.00   0.28973514   0.02968617
3836.00   0.28897834   0.03001565
3838.00   0.39250931   0.03180178
3840.00   0.49045378   0.03389132
3842.00   0.36176696   0.03308902
3844.00   0.31700736   0.03111215
3846.00   0.32302845   0.02924754
3848.00   0.35032666   0.02894626
3850.00   0.34163421   0.02856462
3852.00   0.30446929   0.02850524
3854.00   0.29103765   0.02857474
3856.00   0.31799084   0.02771710
3858.00   0.22868310   0.02612938
3860.00   0.27070642   0.02653420
3862.00   0.29144838   0.02739117
3864.00   0.28603581   0.02692955
3866.00   0.27760226   0.02666598
3868.00   0.25545895   0.02625304
3870.00   0.29295215   0.02616864
3872.00   0.23997623   0.02567554
3874.00   0.25277728   0.02658660
3876.00   0.24496818   0.02588870
3878.00   0.26420450   0.02582258
3880.00   0.17564747   0.02470980
3882.00   0.20697431   0.02474803
3884.00   0.22118135   0.02478432
3886.00   0.21656735   0.02493420
3888.00   0.24999958   0.02500139
3890.00   0.23733096   0.02540471
3892.00   0.19028117   0.02566508
3894.00   0.22544880   0.02559318
3896.00   0.24041055   0.02611342
3898.00   0.23975964   0.02615692
3900.00   0.20952432   0.02563805
3902.00   0.24174780   0.02596131
3904.00   0.17357819   0.02603910
3906.00   0.22573492   0.02748169
3908.00   0.20743780   0.02747834
3910.00   0.21950682   0.02775705
3912.00   0.27002236   0.02826961
3914.00   0.18117332   0.02714537
3916.00   0.16680181   0.02503620
3918.00   0.19043735   0.02441896
3920.00   0.15853928   0.02377935
