# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
3632.00   0.08834313   0.01310430
3634.00   0.10179752   0.01312113
3636.00   0.06574179   0.01285261
3638.00   0.06236670   0.01259083
3640.00   0.05249271   0.01257253
3642.00   0.07007077   0.01303559
3644.00   0.09998849   0.01362942
3646.00   0.04690625   0.01349124
3648.00   0.08102336   0.01615188
3650.00   0.07240029   0.01796440
3652.00   0.07769465   0.01688598
3654.00   0.06292869   0.01551975
3656.00   0.09697140   0.01481036
3658.00   0.06981016   0.01291186
3660.00   0.06375670   0.01308276
3662.00   0.09475275   0.01442591
3664.00   0.05721971   0.01387390
3666.00   0.04721829   0.01231260
3668.00   0.05863495   0.01166262
3670.00   0.05512786   0.01156169
3672.00   0.07898294   0.01193269
3674.00   0.07974698   0.01163867
3676.00   0.09078152   0.01178177
3678.00   0.05151099   0.01115018
3680.00   0.06667884   0.01114500
3682.00   0.08963207   0.01119371
3684.00   0.08153259   0.01111412
3686.00   0.09024622   0.01137299
3688.00   0.08323444   0.01132946
3690.00   0.09409901   0.01118967
3692.00   0.08506145   0.01128845
3694.00   0.06757479   0.01079216
3696.00   0.07954415   0.01077082
3698.00   0.07931463   0.01124424
3700.00   0.07786308   0.01113909
3702.00   0.09248578   0.01130280
3704.00   0.08970233   0.01137982
3706.00   0.08388487   0.01116543
3708.00   0.07591734   0.01111538
3710.00   0.07064523   0.01110663
3712.00   0.08754106   0.01114809
3714.00   0.07287533   0.01080602
3716.00   0.06786675   0.01066379
3718.00   0.06889286   0.01081213
3720.00   0.09489599   0.01074621
3722.00   0.09288511   0.01073095
3724.00   0.06882775   0.01059771
3726.00   0.07659341   0.01066438
3728.00   0.07943356   0.01073102
3730.00   0.07091454   0.01065758
3732.00   0.07414836   0.01051204
3734.00   0.06909323   0.01062827
3736.00   0.08250440   0.01086276
3738.00   0.06989897   0.01075399
3740.00   0.08095188   0.01082177
3742.00   0.05570315   0.01031872
3744.00   0.06796817   0.01013682
3746.00   0.09033137   0.01042220
3748.00   0.09345135   0.01020739
3750.00   0.09547725   0.01030863
3752.00   0.08438283   0.01036639
3754.00   0.07947066   0.01025619
3756.00   0.09138730   0.01025773
3758.00   0.08117035   0.00990785
3760.00   0.08001731   0.00988162
3762.00   0.07050361   0.00984229
3764.00   0.05190589   0.00973480
3766.00   0.06821671   0.00947657
3768.00   0.06567925   0.00955175
3770.00   0.07384553   0.00992101
3772.00   0.09053997   0.00999234
3774.00   0.08004402   0.00967908
3776.00   0.07014786   0.00958777
3778.00   0.07170223   0.00949529
3780.00   0.07458632   0.00945686
3782.00   0.08143025   0.00954080
3784.00   0.07124608   0.00956656
3786.00   0.07652216   0.00944130
3788.00   0.07862665   0.00942227
3790.00   0.08655767   0.00952753
3792.00   0.09377214   0.00957987
3794.00   0.08576491   0.00936616
3796.00   0.07252068   0.00907338
3798.00   0.07215134   0.00905504
3800.00   0.06130881   0.00908411
3802.00   0.08256003   0.00924276
3804.00   0.07526996   0.00923545
3806.00   0.07326176   0.00908187
3808.00   0.08556980   0.00914327
3810.00   0.07287281   0.00903485
3812.00   0.07821850   0.00904944
3814.00   0.08188892   0.00909800
3816.00   0.06589521   0.00887739
3818.00   0.05974712   0.00882449
3820.00   0.07178134   0.00890936
3822.00   0.06384284   0.00870796
3824.00   0.04843494   0.00863126
3826.00   0.07146815   0.00893375
3828.00   0.07940093   0.00928135
3830.00   0.08831499   0.00949023
3832.00   0.07562356   0.00916081
3834.00   0.07550228   0.00889172
3836.00   0.08192997   0.00921353
3838.00   0.15250653   0.01103334
3840.00   0.21821043   0.01281849
3842.00   0.20360109   0.01265232
3844.00   0.11436089   0.01062538
3846.00   0.08076047   0.00882739
3848.00   0.07305078   0.00828849
3850.00   0.08288303   0.00836386
3852.00   0.07455416   0.00850076
3854.00   0.07655769   0.00864752
3856.00   0.05872176   0.00863671
3858.00   0.07102036   0.00841896
3860.00   0.08078882   0.00834773
3862.00   0.06071367   0.00800527
3864.00   0.08145164   0.00809760
3866.00   0.07600120   0.00814983
3868.00   0.05888714   0.00828377
3870.00   0.06808572   0.00834371
3872.00   0.08444387   0.00850516
3874.00   0.08474565   0.00874378
3876.00   0.07392655   0.00859138
3878.00   0.07833448   0.00844475
3880.00   0.06499998   0.00806638
3882.00   0.08413692   0.00799440
3884.00   0.07394526   0.00782974
3886.00   0.06851100   0.00775701
3888.00   0.07465340   0.00790643
3890.00   0.06032341   0.00800475
3892.00   0.05769474   0.00813604
3894.00   0.08459596   0.00844620
3896.00   0.08802616   0.00861251
3898.00   0.06504112   0.00843727
3900.00   0.07771496   0.00849924
3902.00   0.07823313   0.00857641
3904.00   0.06923065   0.00859790
3906.00   0.06638739   0.00895143
3908.00   0.06860869   0.00917119
3910.00   0.06798290   0.00895384
3912.00   0.04323070   0.00858059
3914.00   0.05627545   0.00826728
3916.00   0.07030853   0.00821807
3918.00   0.06011082   0.00814845
3920.00   0.05864650   0.00803989
3922.00   0.06683123   0.00808716
3924.00   0.06116521   0.00814410
3926.00   0.07121788   0.00829097
3928.00   0.07259259   0.00803320
3930.00   0.05701503   0.00790360
3932.00   0.06223980   0.00796586
3934.00   0.07692701   0.00806237
3936.00   0.06554309   0.00779491
3938.00   0.06693805   0.00785265
3940.00   0.07796214   0.00795855
3942.00   0.06433932   0.00791521
3944.00   0.06497971   0.00791156
3946.00   0.06964283   0.00768987
3948.00   0.06498995   0.00746088
3950.00   0.07347261   0.00723598
3952.00   0.07180049   0.00712271
3954.00   0.05871473   0.00711922
3956.00   0.06018985   0.00707445
3958.00   0.07070715   0.00743952
3960.00   0.07173116   0.00784383
3962.00   0.08605519   0.00811147
3964.00   0.07006083   0.00767090
3966.00   0.07829884   0.00759167
3968.00   0.07326254   0.00752123
3970.00   0.08550082   0.00763949
3972.00   0.07229909   0.00760339
3974.00   0.08075958   0.00783830
3976.00   0.08598667   0.00785710
3978.00   0.08741456   0.00782087
3980.00   0.09285539   0.00797032
3982.00   0.08620919   0.00784333
3984.00   0.09271163   0.00790641
3986.00   0.08167269   0.00790283
3988.00   0.08496107   0.00778615
3990.00   0.08737919   0.00786591
3992.00   0.08301685   0.00763122
3994.00   0.08175363   0.00783611
3996.00   0.09602308   0.00790506
3998.00   0.10493961   0.00791796
4000.00   0.09819537   0.00746612
4002.00   0.08596857   0.00736440
4004.00   0.09676827   0.00728562
4006.00   0.10711201   0.00741597
4008.00   0.09051289   0.00742675
4010.00   0.09224457   0.00745186
4012.00   0.08348437   0.00746538
4014.00   0.09826587   0.00954666
4016.00   0.10739805   0.00796075
4018.00   0.09893849   0.00821161
4020.00   0.11168610   0.00877880
4022.00   0.08782357   0.00875234
4024.00   0.10295442   0.00870142
4026.00   0.09315975   0.00840418
4028.00   0.11016729   0.00835268
4030.00   0.10605310   0.00822623
4032.00   0.11086594   0.00808869
4034.00   0.12395214   0.00809906
4036.00   0.10669155   0.00804168
4038.00   0.11411386   0.00797068
4040.00   0.11196210   0.00794806
4042.00   0.10766733   0.00823499
4044.00   0.11902580   0.01096336
4046.00   0.10351212   0.01312132
4048.00   0.09562331   0.01193446
4050.00   0.11240284   0.00863537
4052.00   0.10188270   0.00778674
4054.00   0.09870653   0.00780465
4056.00   0.10946323   0.00783364
4058.00   0.11464599   0.00778243
4060.00   0.12033150   0.00776937
4062.00   0.13714999   0.00797345
4064.00   0.13478974   0.00795012
4066.00   0.12320848   0.00786001
4068.00   0.13162521   0.00780170
4070.00   0.13413560   0.00781633
4072.00   0.13964002   0.00778022
4074.00   0.13510939   0.00782921
4076.00   0.12682544   0.00835143
4078.00   0.12852481   0.00851903
4080.00   0.11682441   0.00808192
4082.00   0.12949969   0.00788781
4084.00   0.12151673   0.00759580
4086.00   0.12295467   0.00738439
4088.00   0.11852454   0.00709695
4090.00   0.14071979   0.00706784
4092.00   0.12268306   0.00695127
4094.00   0.13364112   0.00700795
4096.00   0.12637816   0.00700730
4098.00   0.13610001   0.00721865
4100.00   0.12922414   0.00729920
4102.00   0.12416880   0.00729811
4104.00   0.14935450   0.00738239
4106.00   0.12383872   0.00737368
4108.00   0.12838535   0.00743521
4110.00   0.12768757   0.00745877
4112.00   0.14519568   0.00742691
4114.00   0.13406876   0.00749247
4116.00   0.13803604   0.00744839
4118.00   0.13805425   0.00737850
4120.00   0.12266532   0.00728804
4122.00   0.12825006   0.00731109
4124.00   0.12455305   0.00739879
4126.00   0.12745148   0.00731649
4128.00   0.12689435   0.00736592
4130.00   0.13741355   0.00749380
4132.00   0.12192838   0.00754093
4134.00   0.12726291   0.00760084
4136.00   0.13445845   0.00745513
4138.00   0.13534400   0.00752719
4140.00   0.14150566   0.00762468
4142.00   0.13906348   0.00746742
4144.00   0.10740098   0.00719617
4146.00   0.12484749   0.00722095
4148.00   0.12732141   0.00725569
4150.00   0.12496122   0.00728490
4152.00   0.12067220   0.00746040
4154.00   0.12386746   0.00733658
4156.00   0.11127063   0.00712358
4158.00   0.12865514   0.00720639
4160.00   0.13126758   0.00728012
4162.00   0.12081546   0.00737022
4164.00   0.11745630   0.00757896
4166.00   0.12218014   0.00754954
4168.00   0.10522465   0.00719057
4170.00   0.12031630   0.00720866
4172.00   0.10979476   0.00715874
4174.00   0.11747900   0.00705018
4176.00   0.11631049   0.00702456
4178.00   0.11338871   0.00707381
4180.00   0.09987410   0.00690864
4182.00   0.09804473   0.00688008
4184.00   0.11283599   0.00694007
4186.00   0.11709198   0.00693557
4188.00   0.11355381   0.00687707
4190.00   0.10253536   0.00684201
4192.00   0.10301320   0.00690139
4194.00   0.10858048   0.00684147
4196.00   0.11030861   0.00678086
4198.00   0.11087711   0.00668590
4200.00   0.11410587   0.00672619
4202.00   0.10057423   0.00666018
4204.00   0.11133025   0.00674159
4206.00   0.09828120   0.00672482
4208.00   0.09766461   0.00671889
4210.00   0.11788698   0.00685102
4212.00   0.11148370   0.00679065
4214.00   0.08768047   0.00657206
4216.00   0.09582360   0.00657125
4218.00   0.09430353   0.00650753
4220.00   0.08790227   0.00638751
4222.00   0.09171123   0.00626246
4224.00   0.11287275   0.00637570
4226.00   0.10823653   0.00645718
4228.00   0.09107959   0.00630302
4230.00   0.08665752   0.00629876
4232.00   0.08184089   0.00628918
4234.00   0.08543548   0.00642459
4236.00   0.08970545   0.00653420
4238.00   0.09695130   0.00659732
4240.00   0.09581315   0.00664974
4242.00   0.09981725   0.00655891
4244.00   0.09856421   0.00678546
4246.00   0.09341592   0.00714596
4248.00   0.07553482   0.00708183
4250.00   0.08638900   0.00672157
4252.00   0.09772751   0.00653915
4254.00   0.09669982   0.00660482
4256.00   0.09436211   0.00653111
4258.00   0.09234308   0.00656582
4260.00   0.08693294   0.00650893
4262.00   0.09965041   0.00653842
4264.00   0.09592035   0.00652126
4266.00   0.10659377   0.00660312
4268.00   0.08532016   0.00648006
4270.00   0.08615837   0.00643546
4272.00   0.08089790   0.00646312
4274.00   0.09277504   0.00650857
4276.00   0.09978343   0.00653563
4278.00   0.07888663   0.00649243
4280.00   0.08859280   0.00650438
4282.00   0.09829829   0.00654505
4284.00   0.08690293   0.00651561
4286.00   0.09106375   0.00647736
4288.00   0.07896140   0.00635821
4290.00   0.07823370   0.00649475
4292.00   0.09137796   0.00652026
4294.00   0.07680738   0.00654708
4296.00   0.07197621   0.00645977
4298.00   0.08733921   0.00644721
4300.00   0.08448409   0.00631684
4302.00   0.08452434   0.00631738
4304.00   0.07799342   0.00631589
4306.00   0.09126489   0.00642912
4308.00   0.08894748   0.00640770
4310.00   0.08216844   0.00648312
4312.00   0.09375282   0.00674442
4314.00   0.07828389   0.00679412
4316.00   0.09443439   0.00676698
4318.00   0.08666516   0.00675818
4320.00   0.09895145   0.00685642
4322.00   0.09453863   0.00679037
4324.00   0.09154018   0.00667802
4326.00   0.09084827   0.00657371
4328.00   0.07811861   0.00649017
4330.00   0.08840212   0.00650367
4332.00   0.08411887   0.00646344
4334.00   0.08361347   0.00648802
4336.00   0.06283823   0.00652250
4338.00   0.09231496   0.00673766
4340.00   0.10218137   0.00674244
4342.00   0.11175193   0.00670040
4344.00   0.09863434   0.00676593
4346.00   0.09322157   0.00696214
4348.00   0.11248465   0.00708646
4350.00   0.08257703   0.00689109
4352.00   0.10400190   0.00682297
4354.00   0.07905623   0.00717651
4356.00   0.09772918   0.01083317
4358.00   0.09585035   0.01316951
4360.00   0.08366369   0.01179960
4362.00   0.09735109   0.00850271
4364.00   0.07961450   0.00712899
4366.00   0.08326319   0.00692630
4368.00   0.09359729   0.00690810
4370.00   0.09127008   0.00688574
4372.00   0.08692790   0.00693051
4374.00   0.09976847   0.00711550
4376.00   0.09391119   0.00697487
4378.00   0.09423663   0.00675454
4380.00   0.09450720   0.00670220
4382.00   0.09226189   0.00666815
4384.00   0.09664655   0.00662918
4386.00   0.09834530   0.00663068
4388.00   0.10209353   0.00665499
4390.00   0.09720519   0.00666578
4392.00   0.08745869   0.00663615
4394.00   0.09019969   0.00672736
4396.00   0.08486073   0.00661594
4398.00   0.08830088   0.00676231
4400.00   0.09266242   0.00677771
4402.00   0.07838964   0.00666967
4404.00   0.08620460   0.00657268
4406.00   0.08248602   0.00661463
4408.00   0.10548993   0.00675163
4410.00   0.09240342   0.00670578
4412.00   0.08074708   0.00671788
4414.00   0.10529902   0.00680888
4416.00   0.09143354   0.00677306
4418.00   0.08654806   0.00664887
4420.00   0.09330671   0.00665381
4422.00   0.07302486   0.00655681
