#fits:merged.fits
#Wavelength(Angstroms)  Flux(erg/s/cm2/AA)
3800.5559319354  1.9112360101106407E-16
3802.1879319354002  1.9546284266366557E-16
3803.8199319354003  1.9003352005476118E-16
3805.4519319354004  1.871538223105869E-16
3807.0839319354004  1.9952364051654358E-16
3808.7159319354005  1.9523090234003163E-16
3810.3479319354005  1.9609570436719245E-16
3811.9799319354006  2.0177892710908133E-16
3813.6119319354007  1.9616172190571467E-16
3815.2439319354007  1.9284769409422023E-16
3816.875931935401  1.9118492437525676E-16
3818.507931935401  1.8921330091073103E-16
3820.139931935401  1.858393926453541E-16
3821.771931935401  1.811266914025139E-16
3823.403931935401  1.8205658368126874E-16
3825.035931935401  1.8586621235641848E-16
3826.667931935401  1.8948807095640663E-16
3828.299931935401  1.945102746127835E-16
3829.9319319354013  1.987752731429113E-16
3831.5639319354013  1.9619415527092718E-16
3833.1959319354014  1.9666632190417362E-16
3834.8279319354015  2.227173646221376E-16
3836.4599319354015  2.6469038291688123E-16
3838.0919319354016  3.2520752015801975E-16
3839.7239319354017  3.793922984175664E-16
3841.3559319354017  3.962392899582515E-16
3842.987931935402  3.6173853869071923E-16
3844.619931935402  2.937122099817124E-16
3846.251931935402  2.384809653223913E-16
3847.883931935402  2.1501285446838836E-16
3849.515931935402  1.797204694642301E-16
3851.147931935402  1.8646948157629421E-16
3852.779931935402  2.1352865343159598E-16
3854.411931935402  2.1574324976793994E-16
3856.0439319354023  2.0040289896490852E-16
3857.6759319354023  2.0566199976191747E-16
3859.3079319354024  2.0704847068841743E-16
3860.9399319354025  1.9340558817173017E-16
3862.5719319354025  1.9570500127669078E-16
3864.2039319354026  1.95417748808631E-16
3865.8359319354026  1.9355594244489417E-16
3867.4679319354027  1.9606432772713404E-16
3869.0999319354028  2.043542144392084E-16
3870.731931935403  2.234054415893111E-16
3872.363931935403  2.293584659652851E-16
3873.995931935403  2.2206551152769467E-16
3875.627931935403  2.2226745846145763E-16
3877.259931935403  2.316289593253346E-16
3878.891931935403  2.2937619948583696E-16
3880.523931935403  2.2113433312812326E-16
3882.1559319354033  2.1712855645018657E-16
3883.7879319354033  2.0250479774587225E-16
3885.4199319354034  1.8709116599506477E-16
3887.0519319354034  1.8596908916184974E-16
3888.6839319354035  1.9899502101161603E-16
3890.3159319354036  2.1130271914690995E-16
3891.9479319354036  2.1360284126794648E-16
3893.5799319354037  2.2366050021177334E-16
3895.2119319354038  2.4612456535452643E-16
3896.843931935404  2.5737543706022847E-16
3898.475931935404  2.450749299886979E-16
3900.107931935404  2.3765660389725787E-16
3901.739931935404  2.4354626969982178E-16
3903.371931935404  2.4192535110987786E-16
3905.003931935404  2.2422863138734724E-16
3906.635931935404  2.1694258820565085E-16
3908.2679319354042  2.1645270833223711E-16
3909.8999319354043  2.0432658337996276E-16
3911.5319319354044  1.9304974233095115E-16
3913.1639319354044  1.7814739631811552E-16
3914.7959319354045  1.710402687909277E-16
3916.4279319354046  1.8446072281082925E-16
3918.0599319354046  2.0399107679855764E-16
3919.6919319354047  2.0866032288997547E-16
3921.3239319354047  2.1155834400070659E-16
3922.955931935405  2.243764910609255E-16
3924.587931935405  2.3548001526782486E-16
3926.219931935405  2.3753599183073883E-16
3927.851931935405  2.3496760240666655E-16
3929.483931935405  2.3294917681505744E-16
3931.115931935405  2.2968350569113517E-16
3932.747931935405  2.2571256464206985E-16
3934.3799319354052  2.2065424532796571E-16
3936.0119319354053  2.1553893009774272E-16
3937.6439319354054  2.145187631478928E-16
3939.2759319354054  2.2052438715338177E-16
3940.9079319354055  2.27648635884877E-16
3942.5399319354055  2.2981630129690106E-16
3944.1719319354056  2.2449650959914796E-16
3945.8039319354057  2.1378268033252623E-16
3947.4359319354057  1.978655281598175E-16
3949.067931935406  1.857765150693397E-16
3950.699931935406  1.8236751958394228E-16
3952.331931935406  1.8276025975424953E-16
3953.963931935406  1.8193683290897471E-16
3955.595931935406  1.835528843627374E-16
3957.227931935406  1.9022564962797912E-16
3958.859931935406  1.996805566166254E-16
3960.4919319354062  2.1483814959118084E-16
3962.1239319354063  2.291820958716439E-16
3963.7559319354064  2.378207105580725E-16
3965.3879319354064  2.398340688491064E-16
3967.0199319354065  2.3778729605088723E-16
3968.6519319354065  2.4232695878220474E-16
3970.2839319354066  2.4997502059020126E-16
3971.9159319354067  2.5359783525288727E-16
3973.5479319354067  2.5940080435548613E-16
3975.179931935407  2.6150844024861E-16
3976.811931935407  2.597433147382282E-16
3978.443931935407  2.59204659132922E-16
3980.075931935407  2.6070879661424096E-16
3981.707931935407  2.649338151566152E-16
3983.339931935407  2.6886565687381297E-16
3984.971931935407  2.7015618418879415E-16
3986.603931935407  2.693716766869682E-16
3988.2359319354073  2.637587745958239E-16
3989.8679319354073  2.560531998278115E-16
3991.4999319354074  2.4950059595325834E-16
3993.1319319354075  2.4628184748673224E-16
3994.7639319354075  2.486934192448484E-16
3996.3959319354076  2.528705029456457E-16
3998.0279319354077  2.5553898365844953E-16
3999.6599319354077  2.5212516250410124E-16
4001.291931935408  2.31552837163907E-16
4002.923931935408  2.3149582179487335E-16
4004.555931935408  2.354893626007908E-16
4006.187931935408  2.247204319419436E-16
4007.819931935408  2.340523254368725E-16
4009.451931935408  2.2871829908191353E-16
4011.083931935408  2.297747151202905E-16
4012.715931935408  2.4655889957772893E-16
4014.3479319354083  2.3858981165459136E-16
4015.9799319354083  2.506431117755601E-16
4017.6119319354084  2.668359288476561E-16
4019.2439319354085  2.6701741743751716E-16
4020.8759319354085  2.70266750531887E-16
4022.5079319354086  2.815755590888804E-16
4024.1399319354086  2.8947937252781917E-16
4025.7719319354087  2.866164395701328E-16
4027.4039319354088  2.829986099515546E-16
4029.035931935409  2.906719846853447E-16
4030.667931935409  2.995608781482866E-16
4032.299931935409  3.037518573522381E-16
4033.931931935409  3.055797819641162E-16
4035.563931935409  3.059787820047303E-16
4037.195931935409  3.013071082929979E-16
4038.827931935409  2.9366228477290726E-16
4040.4599319354093  2.907694592262531E-16
4042.0919319354093  2.9925806358804553E-16
4043.7239319354094  3.022735662884505E-16
4045.3559319354094  2.936443564753265E-16
4046.9879319354095  2.8493492561467073E-16
4048.6199319354096  2.849002122793568E-16
4050.2519319354096  2.6662111362473577E-16
4051.8839319354097  2.5254709416696576E-16
4053.5159319354098  2.5591366103880264E-16
4055.14793193541  2.6465353874475834E-16
4056.77993193541  2.8066882474418587E-16
4058.41193193541  2.870564571627957E-16
4060.04393193541  2.9142421954157196E-16
4061.67593193541  3.056764324635845E-16
4063.30793193541  3.058439505845792E-16
4064.93993193541  3.0763621324006083E-16
4066.5719319354102  3.1974043565506666E-16
4068.2039319354103  3.2644716103579284E-16
4069.8359319354104  3.1384446635541477E-16
4071.4679319354104  3.1203823029262303E-16
4073.0999319354105  3.132896304901361E-16
4074.7319319354106  3.100615184150671E-16
4076.3639319354106  3.2011896064221576E-16
4077.9959319354107  3.217047650442824E-16
4079.6279319354107  3.079022386881129E-16
4081.259931935411  2.9029310719806153E-16
4082.891931935411  2.8027023935565917E-16
4084.523931935411  2.7136129132223935E-16
4086.155931935411  2.6239063664590414E-16
4087.787931935411  2.5502047912827445E-16
4089.419931935411  2.5007007153829294E-16
4091.051931935411  2.4725032344116215E-16
4092.6839319354112  2.4860840978884215E-16
4094.3159319354113  2.5536321740342E-16
4095.9479319354114  2.641055792148055E-16
4097.579931935411  2.717196923773702E-16
4099.211931935411  2.9641160692032304E-16
4100.84393193541  3.0985398661278265E-16
4102.47593193541  2.997139420448402E-16
4104.107931935409  3.115223665894307E-16
4105.739931935409  3.155101149997273E-16
4107.371931935409  3.179375844086281E-16
4109.003931935408  3.2844648735703157E-16
4110.635931935408  3.2811410521821354E-16
4112.267931935407  3.2007286202278E-16
4113.899931935407  3.1972403198854303E-16
4115.531931935407  3.2833895791602135E-16
4117.163931935406  3.326542345979983E-16
4118.795931935406  3.386778691056702E-16
4120.4279319354055  3.407197889504289E-16
4122.059931935405  3.3402216157970117E-16
4123.691931935405  3.2450632250389223E-16
4125.323931935404  3.269975236646132E-16
4126.955931935404  3.3262703671607015E-16
4128.5879319354035  3.3469453338236685E-16
4130.219931935403  3.3586153543261316E-16
4131.851931935403  3.3878416323961606E-16
4133.483931935402  3.4260099221586616E-16
4135.115931935402  3.400493813404654E-16
4136.7479319354015  3.330445184018655E-16
4138.379931935401  3.3319950896135695E-16
4140.011931935401  3.37654914446516E-16
4141.6439319354  3.4692258929125275E-16
4143.2759319354  3.506476935073873E-16
4144.9079319354  3.371823874325033E-16
4146.539931935399  3.2988344616208827E-16
4148.171931935399  3.271297651412041E-16
4149.803931935398  3.2419921924199545E-16
4151.435931935398  3.25820648730626E-16
4153.067931935398  3.2508019476197336E-16
4154.699931935397  3.263696161403931E-16
4156.331931935397  3.253769905811316E-16
4157.963931935396  3.2197246192902586E-16
4159.595931935396  3.3410022976436513E-16
4161.227931935396  3.401180523092014E-16
4162.859931935395  3.371002420592333E-16
4164.491931935395  3.349623553963037E-16
4166.1239319353945  3.3388066516849693E-16
4167.755931935394  3.280360660291212E-16
4169.387931935394  3.238513866282083E-16
4171.019931935393  3.260323800980408E-16
4172.651931935393  3.29723305255794E-16
4174.2839319353925  3.364538414352634E-16
4175.915931935392  3.31659251306172E-16
4177.547931935392  3.2097334167783034E-16
4179.179931935391  3.2261256041089813E-16
4180.811931935391  3.236617501165202E-16
4182.4439319353905  3.172194057807675E-16
4184.07593193539  3.142151880651086E-16
4185.70793193539  3.214952623392399E-16
4187.339931935389  3.1830650426721845E-16
4188.971931935389  3.070732860844368E-16
4190.603931935389  3.054953651709968E-16
4192.235931935388  3.1643376264146767E-16
4193.867931935388  3.14254880015406E-16
4195.499931935387  3.126495514173809E-16
4197.131931935387  3.091291789654557E-16
4198.763931935387  3.0138996521166717E-16
4200.395931935386  3.05846355440479E-16
4202.027931935386  3.0597867810944523E-16
4203.659931935385  3.028396455174779E-16
4205.291931935385  3.0340484735373047E-16
4206.923931935385  3.046101369886118E-16
4208.555931935384  2.987290847348891E-16
4210.187931935384  2.990787455164368E-16
4211.8199319353835  3.0516042161960045E-16
4213.451931935383  3.0209432396131193E-16
4215.083931935383  2.961548416504146E-16
4216.715931935382  2.8876708049407694E-16
4218.347931935382  2.772988412271051E-16
4219.9799319353815  2.6632596406849783E-16
4221.611931935381  2.7268632531874583E-16
4223.243931935381  2.7532250458598085E-16
4224.87593193538  2.6890290936702334E-16
4226.50793193538  2.6006962413130634E-16
4228.1399319353795  2.461731027909685E-16
4229.771931935379  2.484872239603114E-16
4231.403931935379  2.5990896168670473E-16
4233.035931935378  2.653646169469823E-16
4234.667931935378  2.66684947558575E-16
4236.299931935378  2.720671572196046E-16
4237.931931935377  2.8113401497146933E-16
4239.563931935377  2.860412230760764E-16
4241.195931935376  2.823493519491944E-16
4242.827931935376  2.814562956631649E-16
4244.459931935376  2.869034231918718E-16
4246.091931935375  2.904196097437099E-16
4247.723931935375  2.8747875629802084E-16
4249.355931935374  2.9016496800816236E-16
4250.987931935374  2.946790076207617E-16
4252.619931935374  2.955863617788916E-16
4254.251931935373  2.9455014817037606E-16
4255.883931935373  2.961818524927452E-16
4257.5159319353725  2.9084400915258666E-16
4259.147931935372  2.851946363718657E-16
4260.779931935372  2.9091156380836145E-16
4262.411931935371  3.0382950857590554E-16
4264.043931935371  3.0268551200188765E-16
4265.6759319353705  2.952653846984585E-16
4267.30793193537  2.928218527730348E-16
4268.93993193537  2.8715517008314687E-16
4270.571931935369  2.852833238002326E-16
4272.203931935369  2.83926726716623E-16
4273.8359319353685  2.82396941620895E-16
4275.467931935368  2.843894792105077E-16
4277.099931935368  2.855147736929722E-16
4278.731931935367  2.8726126801330097E-16
4280.363931935367  2.889782112894831E-16
4281.995931935367  2.899232947260222E-16
4283.627931935366  2.963915714557153E-16
4285.259931935366  2.9543329243047083E-16
4286.891931935365  2.905765698322913E-16
4288.523931935365  2.9126393671495546E-16
4290.155931935365  2.890757895282986E-16
4291.787931935364  2.852382050431882E-16
4293.419931935364  2.8531173021531237E-16
4295.051931935363  2.8960055624127925E-16
4296.683931935363  2.9018396506586026E-16
4298.315931935363  2.8664725282808783E-16
4299.947931935362  2.789216387596536E-16
4301.579931935362  2.71893637773532E-16
4303.2119319353615  2.7356928225963394E-16
4304.843931935361  2.7689249834905064E-16
4306.475931935361  2.792670531428797E-16
4308.10793193536  2.830902451223617E-16
4309.73993193536  2.8670831203631834E-16
4311.3719319353595  2.7962385043700566E-16
4313.003931935359  2.8175421674116405E-16
4314.635931935359  2.8592378276156747E-16
4316.267931935358  2.7780167851108824E-16
4317.899931935358  2.818341989960664E-16
4319.5319319353575  2.845002706344779E-16
4321.163931935357  2.8383221351020637E-16
4322.795931935357  2.8335010417606953E-16
4324.427931935356  2.7723767617752204E-16
4326.059931935356  2.833750097900854E-16
4327.691931935356  2.8449161987661492E-16
4329.323931935355  2.740756630768002E-16
4330.955931935355  2.8125191192612754E-16
4332.587931935354  2.8439274355739396E-16
4334.219931935354  2.8321576262019895E-16
4335.851931935354  2.8412393650682333E-16
4337.483931935353  2.8439133203667604E-16
4339.115931935353  2.782939473711217E-16
4340.747931935352  2.864913978243489E-16
4342.379931935352  2.9894178443579116E-16
4344.011931935352  2.9430132349628417E-16
4345.643931935351  2.9957591589950005E-16
4347.275931935351  2.9540431825889547E-16
4348.9079319353505  2.868950081967586E-16
4350.53993193535  2.93361379229357E-16
4352.17193193535  2.9696612682195564E-16
4353.803931935349  2.7976577885459273E-16
4355.435931935349  2.6079421946012334E-16
4357.0679319353485  2.67297508968377E-16
4358.699931935348  2.936646244785725E-16
4360.331931935348  3.0368570098318007E-16
4361.963931935347  2.9267579374064813E-16
4363.595931935347  2.8311825162672553E-16
4365.2279319353465  2.898381169729996E-16
4366.859931935346  2.8605960555244455E-16
4368.491931935346  2.882342857686897E-16
4370.123931935345  2.9808868681767616E-16
4371.755931935345  2.9010937762710256E-16
4373.387931935345  2.8506443089131755E-16
4375.019931935344  2.8585577681803886E-16
4376.651931935344  2.847730942147541E-16
4378.283931935343  2.824651840125999E-16
4379.915931935343  2.9353693311340413E-16
4381.547931935343  2.929627361937712E-16
4383.179931935342  2.8556114971335244E-16
4384.811931935342  2.9021993565050266E-16
4386.443931935341  2.943944870938475E-16
4388.075931935341  2.8604618839903537E-16
4389.707931935341  2.7899573838556344E-16
4391.33993193534  2.8172451496137613E-16
4392.97193193534  2.822602415663453E-16
4394.6039319353395  2.9636812605964097E-16
4396.235931935339  2.9889372717989876E-16
4397.867931935339  2.820472128223817E-16
4399.499931935338  2.7406926308824457E-16
4401.131931935338  2.741298110606125E-16
4402.7639319353375  2.816522457940176E-16
4404.395931935337  2.895881410822049E-16
4406.027931935337  2.892492098808746E-16
4407.659931935336  2.867519142039254E-16
4409.291931935336  2.871760606864901E-16
4410.9239319353355  2.849210446754867E-16
4412.555931935335  2.789177694706373E-16
4414.187931935335  2.861535189618528E-16
4415.819931935334  2.887356237561745E-16
4417.451931935334  2.8104792268979286E-16
4419.083931935334  2.7453032632171494E-16
4420.715931935333  2.7541550305825045E-16
4422.347931935333  2.7810016156207356E-16
4423.979931935332  2.765036452896936E-16
4425.611931935332  2.724823560544474E-16
4427.243931935332  2.7245145518886287E-16
4428.875931935331  2.7499440150768374E-16
4430.507931935331  2.748615896959463E-16
4432.13993193533  2.734112927196732E-16
4433.77193193533  2.731563787498332E-16
4435.40393193533  2.5983445608724085E-16
4437.035931935329  2.5530114446352786E-16
4438.667931935329  2.646968472943399E-16
4440.2999319353285  2.6860440073534563E-16
4441.931931935328  2.7009203180304134E-16
4443.563931935328  2.7311745640262447E-16
4445.195931935327  2.772723393193316E-16
4446.827931935327  2.8001816125842163E-16
4448.4599319353265  2.823956418653397E-16
4450.091931935326  2.840084308004422E-16
4451.723931935326  2.8495817358275373E-16
4453.355931935325  2.8225584348338457E-16
4454.987931935325  2.726812714360942E-16
4456.6199319353245  2.6985469376820423E-16
4458.251931935324  2.7091934936950627E-16
4459.883931935324  2.7096980690570673E-16
4461.515931935323  2.746190331566631E-16
4463.147931935323  2.7296949283061823E-16
4464.779931935323  2.6438967747162645E-16
4466.411931935322  2.6185934505145227E-16
4468.043931935322  2.768425547594133E-16
4469.675931935321  2.981172126124499E-16
4471.307931935321  3.045601389534187E-16
4472.939931935321  2.931534083784358E-16
4474.57193193532  2.790459411874578E-16
4476.20393193532  2.5707726771638827E-16
4477.835931935319  2.5085527667388106E-16
4479.467931935319  2.5655629455168E-16
4481.099931935319  2.5656501972780833E-16
4482.731931935318  2.6191611671559087E-16
4484.363931935318  2.7446732469734473E-16
4485.9959319353175  2.817224700688861E-16
4487.627931935317  2.7764989788670593E-16
4489.259931935317  2.739892063187347E-16
4490.891931935316  2.759345996175606E-16
4492.523931935316  2.8073639261082895E-16
4494.1559319353155  2.859771717788784E-16
4495.787931935315  2.9158861107778557E-16
4497.419931935315  2.8808408831653024E-16
4499.051931935314  2.898986632175553E-16
4500.683931935314  2.93662884200359E-16
4502.3159319353135  2.792725160886281E-16
4503.947931935313  2.749294103682203E-16
4505.579931935313  2.7937957890062874E-16
4507.211931935312  2.7849352623244905E-16
4508.843931935312  2.7351547486170433E-16
4510.475931935312  2.800408595382695E-16
4512.107931935311  2.8431704739400657E-16
4513.739931935311  2.782610819542826E-16
4515.37193193531  2.681934776840481E-16
4517.00393193531  2.570872937525996E-16
4518.63593193531  2.6617878577091485E-16
4520.267931935309  2.8023535172639906E-16
4521.899931935309  2.775515190654095E-16
4523.531931935308  2.7607965343050705E-16
4525.163931935308  2.7714178312372015E-16
4526.795931935308  2.7607346376543326E-16
4528.427931935307  2.730366360536934E-16
4530.059931935307  2.762682724711589E-16
4531.6919319353065  2.8547027408315976E-16
4533.323931935306  2.842178486792411E-16
4534.955931935306  2.7408720554568516E-16
4536.587931935305  2.7529883114401715E-16
4538.219931935305  2.8141663456000426E-16
4539.8519319353045  2.811974506150543E-16
4541.483931935304  2.70936689405119E-16
4543.115931935304  2.651532121930968E-16
4544.747931935303  2.8539455127526693E-16
4546.379931935303  2.8571533851692098E-16
4548.0119319353025  2.6889498513471137E-16
4549.643931935302  2.69520050483236E-16
4551.275931935302  2.6814282911695866E-16
4552.907931935301  2.7329137692350104E-16
4554.539931935301  2.811549631001E-16
4556.171931935301  2.8266623782483794E-16
4557.8039319353  2.855015375574247E-16
4559.4359319353  2.85439665102848E-16
4561.067931935299  2.872285219481688E-16
4562.699931935299  2.9055550575585447E-16
4564.331931935299  2.8391900627964438E-16
4565.963931935298  2.7696623620384E-16
4567.595931935298  2.777628553641208E-16
4569.227931935297  2.8206700303022986E-16
4570.859931935297  2.80194441297014E-16
4572.491931935297  2.746112627131647E-16
4574.123931935296  2.764855842384907E-16
4575.755931935296  2.837606355016188E-16
4577.3879319352955  2.839560117625784E-16
4579.019931935295  2.7834284265739785E-16
4580.651931935295  2.7944865462540696E-16
4582.283931935294  2.869530547436249E-16
4583.915931935294  2.921542872318401E-16
4585.5479319352935  2.964233988870549E-16
4587.179931935293  2.84137556570054E-16
4588.811931935293  2.7632101071475885E-16
4590.443931935292  2.8896456899351355E-16
4592.075931935292  2.8866235779416176E-16
4593.7079319352915  2.928785680097832E-16
4595.339931935291  2.898181546177169E-16
4596.971931935291  2.771788222581717E-16
4598.60393193529  2.8635683553948995E-16
4600.23593193529  2.9043532664452077E-16
4601.86793193529  2.8621330459711243E-16
4603.499931935289  2.8634714491333656E-16
4605.131931935289  2.939656650015857E-16
4606.763931935288  3.022355844312076E-16
4608.395931935288  2.9993927417401025E-16
4610.027931935288  2.9350960045281157E-16
4611.659931935287  2.997802678000521E-16
4613.291931935287  3.058508462744558E-16
4614.923931935286  3.082349660123656E-16
4616.555931935286  3.0546865406865933E-16
4618.187931935286  3.002564153598631E-16
4619.819931935285  3.0608997878505403E-16
4621.451931935285  3.100344049417293E-16
4623.083931935284  3.0697395535961074E-16
4624.715931935284  3.0377517336596265E-16
4626.347931935284  3.0385040979903085E-16
4627.979931935283  3.0376992689568967E-16
4629.611931935283  3.0003291772954934E-16
4631.2439319352825  2.9878391038406283E-16
4632.875931935282  3.1050040926355677E-16
4634.507931935282  3.1714180807021936E-16
4636.139931935281  3.149009371641205E-16
4637.771931935281  3.1446935318381005E-16
4639.4039319352805  3.1970543728915395E-16
4641.03593193528  3.1794580768755985E-16
