#fits:extract-mods1b.17egm_x1d.fits
#Wavelength(Angstroms)  Flux(erg/s/cm2/AA)
3000.0  -8.665916977451128E-16
3000.5  9.802175200262202E-16
3001.0  3.947094281213478E-15
3001.5  4.700213691994072E-15
3002.0  7.735317639287754E-15
3002.5  7.908388035485514E-15
3003.0  3.102850414268634E-15
3003.5  -6.313594980413082E-15
3004.0  -1.5605409669267082E-14
3004.5  -1.59038760468879E-14
3005.0  -6.90174725898401E-15
3005.5  4.202851639326911E-15
3006.0  9.397332675537736E-15
3006.5  1.6342762556194716E-15
3007.0  -4.227963105648612E-15
3007.5  -2.390321737101951E-15
3008.0  1.3921815374111606E-15
3008.5  -1.1446861145581746E-15
3009.0  -2.1424032572371453E-15
3009.5  -2.83345076578741E-15
3010.0  -6.002046092663584E-15
3010.5  -1.1977072599559484E-14
3011.0  -1.1710837919370953E-14
3011.5  -3.932268818513042E-15
3012.0  3.177773084793442E-15
3012.5  2.970773861285563E-15
3013.0  -5.236030198258934E-16
3013.5  -1.4753829438467035E-15
3014.0  -3.401188744335976E-15
3014.5  -9.101928146767416E-15
3015.0  -1.0093529924730215E-14
3015.5  -5.2638415678491065E-15
3016.0  -5.770972564370119E-16
3016.5  1.9180027937069886E-15
3017.0  1.9654252653509147E-15
3017.5  1.734833534156276E-16
3018.0  -1.6582528626334542E-16
3018.5  7.879540846465876E-16
3019.0  -3.708941653439486E-16
3019.5  -2.922735818954578E-15
3020.0  -3.6568957739077636E-15
3020.5  -3.255918292362129E-15
3021.0  -4.016013704317792E-15
3021.5  -6.339527632788409E-15
3022.0  -9.265348845349E-15
3022.5  -9.816311114811413E-15
3023.0  -8.192518779390757E-15
3023.5  -4.498687744014384E-15
3024.0  -1.49158548546014E-15
3024.5  -1.864553847834907E-15
3025.0  -1.6142043898984693E-15
3025.5  2.5063539137429966E-15
3026.0  3.647439837588889E-15
3026.5  -1.3451642590593691E-15
3027.0  -4.210145571872286E-15
3027.5  -1.960945440971623E-15
3028.0  -2.7763648408752967E-15
3028.5  -4.823613403480935E-15
3029.0  -4.514985984244912E-15
3029.5  -3.80483521190084E-15
3030.0  -4.120707578941415E-15
3030.5  -2.3634969044904456E-15
3031.0  -8.53741494025354E-16
3031.5  5.0940552167470015E-17
3032.0  -4.0845652818686037E-16
3032.5  -1.2454864875435827E-15
3033.0  -1.3087098072333224E-15
3033.5  -1.933931233207846E-15
3034.0  -1.512254836559406E-15
3034.5  -2.3766225304692475E-16
3035.0  -1.151071506178716E-15
3035.5  -1.6184071183472176E-15
3036.0  -3.642585882988301E-16
3036.5  9.187801625713516E-16
3037.0  -3.519874799445755E-16
3037.5  -1.192213246403849E-15
3038.0  -2.5165386468231817E-15
3038.5  -1.642112251037928E-15
3039.0  -8.302689501550013E-16
3039.5  -2.030787270032877E-15
3040.0  -2.8882497552329723E-15
3040.5  -4.875594026899238E-16
3041.0  5.531188215502378E-16
3041.5  -6.214379850060541E-16
3042.0  -2.102693684020271E-16
3042.5  1.2321625976793464E-15
3043.0  -1.5079794982281622E-16
3043.5  2.6271056122045803E-16
3044.0  -8.493086724769716E-17
3044.5  -2.9099115137488233E-15
3045.0  -2.6548507025391606E-15
3045.5  -1.6840077348672354E-15
3046.0  -1.7731776545108847E-15
3046.5  8.062045608644864E-16
3047.0  2.0314710906822594E-15
3047.5  2.1607758638967756E-15
3048.0  8.947190266184523E-16
