#fits:extract-mods1r.17egm_x1d.fits
#Wavelength(Angstroms)  Flux(erg/s/cm2/AA)
5500.0  2.8435471701955503E-16
5500.5  2.613931868502545E-16
5501.0  2.4750643443073643E-16
5501.5  2.7959150164895615E-16
5502.0  2.773846083548139E-16
5502.5  2.726265495856309E-16
5503.0  2.6703532882755775E-16
5503.5  2.6318596800441164E-16
5504.0  1.893739801594178E-16
5504.5  1.9372726380383894E-16
5505.0  2.059974122759486E-16
5505.5  2.0582509963774245E-16
5506.0  2.0503810126141134E-16
5506.5  2.199321188854744E-16
5507.0  2.1405640715898823E-16
5507.5  2.0427091433097125E-16
5508.0  2.2499097910621197E-16
5508.5  2.338151813843569E-16
5509.0  2.356909185016718E-16
5509.5  2.3208641868815897E-16
5510.0  2.2703456499588055E-16
5510.5  2.1194205942962756E-16
5511.0  2.0446151591158278E-16
5511.5  2.0260564326149488E-16
5512.0  2.0846578449391608E-16
5512.5  2.1936348079329933E-16
5513.0  2.658538438312233E-16
5513.5  2.841201791700376E-16
5514.0  2.9635687779613914E-16
5514.5  2.7695072593259034E-16
5515.0  2.477617626792754E-16
5515.5  1.8648294059426237E-16
5516.0  1.6302664955293768E-16
5516.5  1.698375759722691E-16
5517.0  1.7645391436496948E-16
5517.5  1.869299295745746E-16
5518.0  2.148953263209148E-16
5518.5  2.232292286092895E-16
5519.0  2.1824646481119844E-16
5519.5  2.2224151284270594E-16
5520.0  2.28552727792805E-16
5520.5  2.2676609430346116E-16
5521.0  2.2625669108865226E-16
5521.5  2.382138630661101E-16
5522.0  2.4502476131498293E-16
5522.5  2.5464526223647665E-16
5523.0  2.6451228934255574E-16
5523.5  2.6014487836152947E-16
5524.0  2.0926831219887733E-16
5524.5  1.9114072806446223E-16
5525.0  1.690916776030394E-16
5525.5  1.6082948377912273E-16
5526.0  1.6573959199582468E-16
5526.5  2.2523341353859774E-16
5527.0  2.396955543357586E-16
5527.5  2.570373871251061E-16
5528.0  2.500065175670475E-16
5528.5  2.4360828966071304E-16
5529.0  2.221944425691159E-16
5529.5  2.1781695141501988E-16
5530.0  2.13192544195736E-16
5530.5  1.7494014552627114E-16
5531.0  1.6252904586093925E-16
5531.5  1.4795070127341592E-16
5532.0  1.480784152488693E-16
5532.5  1.4829560815857105E-16
5533.0  1.7254254844872172E-16
5533.5  1.7980649136036164E-16
5534.0  1.9538110217655372E-16
5534.5  2.0795091984262623E-16
5535.0  2.2050936701360843E-16
5535.5  2.1639630629994138E-16
5536.0  2.146860199695776E-16
5536.5  2.1580452697773846E-16
5537.0  1.9856318572153869E-16
5537.5  1.821523086236935E-16
5538.0  1.8365757339486826E-16
5538.5  1.8407603694350069E-16
5539.0  1.8896436960623906E-16
5539.5  1.99558942573778E-16
5540.0  2.0892126791125056E-16
5540.5  1.9351238204755006E-16
5541.0  1.898657472628842E-16
5541.5  1.8930569895806537E-16
5542.0  1.962190800795092E-16
5542.5  2.0187563289928864E-16
5543.0  2.3068630523918123E-16
5543.5  2.324431390104751E-16
5544.0  2.281476013293646E-16
5544.5  2.2528079091198256E-16
5545.0  2.2256021507333426E-16
5545.5  2.156617900002431E-16
5546.0  2.1987704139755712E-16
5546.5  2.4167724445437466E-16
5547.0  2.3476364082658096E-16
5547.5  2.2890540197983567E-16
5548.0  2.102716869605795E-16
5548.5  1.9865699934909194E-16
5549.0  1.7185457036016484E-16
5549.5  1.7552433225834602E-16
5550.0  1.7774628111314788E-16
5550.5  1.7844536889036258E-16
5551.0  1.758620672361531E-16
5551.5  1.7104923762222017E-16
5552.0  1.606941533786471E-16
5552.5  1.5294189534716093E-16
5553.0  1.6350861113908687E-16
5553.5  1.6249181354815085E-16
5554.0  1.599139405974622E-16
5554.5  1.6946348081367557E-16
5555.0  1.7519236109885175E-16
5555.5  1.7748218437076799E-16
5556.0  1.800272391361037E-16
5556.5  1.8933629937400262E-16
5557.0  1.8627506224819128E-16
5557.5  1.83567451337702E-16
5558.0  1.6675456184392178E-16
5558.5  1.603349385611776E-16
5559.0  1.4928083003959705E-16
5559.5  1.589699207544432E-16
5560.0  1.640986574515058E-16
5560.5  1.5660016799906402E-16
5561.0  1.5380696119400176E-16
5561.5  1.50309102182773E-16
5562.0  1.5401603820581114E-16
5562.5  1.5539763660624414E-16
5563.0  1.6649823560712655E-16
5563.5  1.6787390183638781E-16
5564.0  1.7243813524782476E-16
5564.5  1.815695149485795E-16
5565.0  1.856409789864685E-16
5565.5  1.8969961581267607E-16
5566.0  1.9238768434196865E-16
5566.5  2.0039664615760977E-16
5567.0  1.9353521851682042E-16
5567.5  1.8890004020826923E-16
5568.0  1.8183678653393005E-16
5568.5  1.7244790755090226E-16
5569.0  1.5559062138699523E-16
5569.5  1.4747513194084659E-16
5570.0  1.4259784961639342E-16
5570.5  1.3976556611511125E-16
5571.0  1.4563479367462083E-16
5571.5  1.5857843430012935E-16
5572.0  1.564562176987809E-16
5572.5  1.5448284625456036E-16
5573.0  1.4664131969844664E-16
5573.5  1.5167649335124503E-16
5574.0  1.624627018928292E-16
5574.5  2.665391910241635E-16
5575.0  3.148034750031094E-16
5575.5  4.385190681334578E-16
5576.0  4.478724775377898E-16
5576.5  4.683304389988103E-16
5577.0  4.703159242499341E-16
5577.5  4.683625605159046E-16
5578.0  4.663274835123412E-16
5578.5  4.767000489799597E-16
5579.0  4.980175212494828E-16
5579.5  4.920909161088244E-16
5580.0  4.80754714453431E-16
5580.5  3.367490981259293E-16
5581.0  2.751237461892792E-16
5581.5  1.769752556674998E-16
5582.0  1.5876251229526435E-16
5582.5  1.4950454664850998E-16
5583.0  1.283562899664387E-16
5583.5  1.2949040996075167E-16
5584.0  1.3208162060020985E-16
5584.5  1.3791884818414306E-16
5585.0  1.3877437733069237E-16
5585.5  1.3093553364319324E-16
5586.0  1.3458644255251053E-16
5586.5  1.4082476203517113E-16
5587.0  1.4583238016351816E-16
5587.5  1.4769088121676584E-16
5588.0  1.6088593084591818E-16
5588.5  1.6068677443324085E-16
5589.0  1.6121685791517519E-16
5589.5  1.6128855070706103E-16
5590.0  1.5989374534232778E-16
5590.5  1.5512110495359555E-16
5591.0  1.5637506604850667E-16
5591.5  1.5881594545628627E-16
