WAVE,FLUX,ERR,SKYBACK
6008.8936,7.8262714E-17,3.873467E-18,2.2786518E-16
6013.105,7.60887E-17,3.8524035E-18,2.2829968E-16
6017.316,7.64885E-17,3.8526777E-18,2.280478E-16
6021.527,8.887245E-17,3.920228E-18,2.2792415E-16
6025.738,9.049675E-17,3.9313926E-18,2.2979768E-16
6029.9487,7.526537E-17,3.8444704E-18,2.310402E-16
6034.1597,7.676886E-17,3.8552663E-18,2.323306E-16
6038.371,7.694165E-17,3.8431262E-18,2.3017064E-16
6042.582,8.0561734E-17,3.847522E-18,2.2808967E-16
6046.793,7.481264E-17,3.8033004E-18,2.2638231E-16
6051.004,7.7343214E-17,3.804422E-18,2.241533E-16
6055.215,7.9323524E-17,3.7983815E-18,2.2124162E-16
6059.426,6.836703E-17,3.764979E-18,2.2914097E-16
6063.637,7.3395134E-17,3.764973E-18,2.231399E-16
6067.848,7.100667E-17,3.7480604E-18,2.236191E-16
6072.059,6.7078425E-17,3.7013756E-18,2.1955277E-16
6076.27,7.506096E-17,3.7562516E-18,2.2225274E-16
6080.481,7.553279E-17,3.736022E-18,2.1765532E-16
6084.692,7.739978E-17,3.7448753E-18,2.1826252E-16
6088.9033,6.795686E-17,3.70854E-18,2.2342035E-16
6093.1143,7.23676E-17,3.707735E-18,2.1874933E-16
6097.325,7.5242764E-17,3.718327E-18,2.1765866E-16
6101.536,7.710146E-17,3.708639E-18,2.1414863E-16
6105.747,7.108408E-17,3.6805815E-18,2.168959E-16
6109.958,7.6171125E-17,3.6965084E-18,2.1440188E-16
6114.169,7.0078325E-17,3.6614893E-18,2.152089E-16
6118.3804,7.970664E-17,3.6823814E-18,2.0784964E-16
6122.5913,7.495782E-17,3.6810683E-18,2.1481532E-16
6126.8022,6.71437E-17,3.650852E-18,2.1931017E-16
6131.013,7.980988E-17,3.7222027E-18,2.1902897E-16
6135.224,7.433189E-17,3.690916E-18,2.2025328E-16
6139.435,8.080871E-17,3.6975958E-18,2.1314295E-16
6143.6465,7.8320306E-17,3.6961466E-18,2.1701607E-16
6147.8574,7.583739E-17,3.6605207E-18,2.1313224E-16
6152.0684,6.7068135E-17,3.5956503E-18,2.1044467E-16
6156.2793,7.4854234E-17,3.6383626E-18,2.1116885E-16
6160.49,8.0643016E-17,3.678687E-18,2.128695E-16
6164.701,6.949064E-17,3.6133094E-18,2.1352343E-16
6168.9126,7.297412E-17,3.6535935E-18,2.1871084E-16
6173.1235,7.123071E-17,3.6524466E-18,2.2191935E-16
6177.3345,6.82376E-17,3.6211957E-18,2.1901229E-16
6181.5454,6.521405E-17,3.580885E-18,2.1508352E-16
6185.7563,6.6618076E-17,3.597874E-18,2.1722652E-16
6189.9673,7.769884E-17,3.658693E-18,2.1788582E-16
6194.1787,6.989298E-17,3.613162E-18,2.1775164E-16
6198.3896,7.1967446E-17,3.6338996E-18,2.2027694E-16
6202.6006,7.113015E-17,3.625716E-18,2.2067127E-16
6206.8115,6.928019E-17,3.6307745E-18,2.2453443E-16
6211.0225,6.799619E-17,3.6121224E-18,2.227726E-16
6215.2334,6.892364E-17,3.6037385E-18,2.2051799E-16
6219.445,6.845662E-17,3.679173E-18,2.386553E-16
6223.656,6.744864E-17,3.720191E-18,2.50795E-16
6227.8667,7.435952E-17,3.7754475E-18,2.5533888E-16
6232.0776,7.8403295E-17,3.762752E-18,2.4726228E-16
6236.2886,7.551588E-17,3.760467E-18,2.5105948E-16
6240.4995,7.340041E-17,3.7440143E-18,2.5090005E-16
6244.7104,7.7297626E-17,3.742004E-18,2.456673E-16
6248.922,7.693516E-17,3.701558E-18,2.3709087E-16
6253.133,7.382837E-17,3.7033732E-18,2.4248433E-16
6257.3438,7.045024E-17,3.683029E-18,2.428974E-16
6261.5547,7.083044E-17,3.6763993E-18,2.4113744E-16
6265.7656,7.56313E-17,3.620954E-18,2.2256116E-16
6269.9766,7.361336E-17,3.6450078E-18,2.323596E-16
6274.188,7.147726E-17,3.6699737E-18,2.3445287E-16
6278.399,7.827452E-17,3.697889E-18,2.4091576E-16
6282.61,7.974062E-17,4.187298E-18,3.4259306E-16
6286.821,8.700554E-17,4.6226137E-18,4.8106913E-16
6291.0317,8.525495E-17,4.6387143E-18,4.8888587E-16
6295.2427,7.245758E-17,4.6125907E-18,4.9900474E-16
6299.454,8.18586E-17,4.6034433E-18,4.842912E-16
6303.665,7.897239E-17,4.48958E-18,4.5465266E-16
6307.876,6.970863E-17,3.95028E-18,3.1851157E-16
6312.087,7.543362E-17,3.6499096E-18,2.3613097E-16
6316.298,7.380338E-17,3.6348305E-18,2.3514675E-16
6320.509,8.232175E-17,3.6594086E-18,2.2989877E-16
6324.72,7.3849176E-17,3.619737E-18,2.3260141E-16
6328.931,7.226745E-17,3.603831E-18,2.3122832E-16
6333.142,6.777845E-17,3.566239E-18,2.2985626E-16
6337.353,8.235596E-17,3.5970693E-18,2.1763582E-16
6341.564,8.007077E-17,3.6143616E-18,2.2593606E-16
6345.775,8.410289E-17,3.7495493E-18,2.531172E-16
6349.9863,7.3304805E-17,3.904732E-18,3.0771095E-16
6354.1973,7.5240984E-17,3.901605E-18,3.0512731E-16
6358.408,8.181558E-17,3.908252E-18,2.9895713E-16
6362.619,8.0617936E-17,3.8922603E-18,2.9651656E-16
6366.83,7.355158E-17,3.819888E-18,2.8834126E-16
6371.041,8.121589E-17,3.7052385E-18,2.500089E-16
6375.252,8.522213E-17,3.5718904E-18,2.1249723E-16
6379.4634,7.8395004E-17,3.5315686E-18,2.1272932E-16
6383.6743,8.032062E-17,3.5218038E-18,2.0844462E-16
6387.8853,8.8568174E-17,3.556499E-18,2.0653349E-16
6392.096,7.925526E-17,3.5010738E-18,2.063866E-16
6396.307,7.524785E-17,3.436463E-18,1.978602E-16
6400.518,8.060284E-17,3.471774E-18,1.9917493E-16
6404.7295,7.85205E-17,3.455723E-18,1.9888533E-16
6408.9404,7.634196E-17,3.447317E-18,2.0087884E-16
6413.1514,7.6528083E-17,3.428473E-18,1.9664585E-16
6417.3623,7.873852E-17,3.4565347E-18,2.005812E-16
6421.573,7.0995635E-17,3.4046365E-18,1.9917597E-16
6425.784,8.129554E-17,3.453799E-18,1.9757E-16
6429.9956,8.7460096E-17,3.4731585E-18,1.9459742E-16
6434.2065,7.6446365E-17,3.4084813E-18,1.9447887E-16
6438.4175,7.94296E-17,3.4365175E-18,1.9787129E-16
6442.6284,8.228597E-17,3.4635578E-18,2.0084189E-16
6446.8394,8.477114E-17,3.4732962E-18,2.0033313E-16
6451.0503,7.85529E-17,3.493947E-18,2.1400805E-16
6455.2617,8.0109266E-17,3.5233837E-18,2.2000331E-16
6459.4727,8.0556096E-17,3.5254926E-18,2.2024156E-16
6463.6836,8.2693094E-17,3.539385E-18,2.2181355E-16
6467.8945,8.1053304E-17,3.5223075E-18,2.2042467E-16
6472.1055,7.402583E-17,3.480213E-18,2.2053472E-16
6476.3164,7.96534E-17,3.4337692E-18,2.0253098E-16
6480.5273,7.9320394E-17,3.4281638E-18,2.0206409E-16
6484.739,8.341749E-17,3.4911484E-18,2.1236434E-16
6488.9497,8.227428E-17,3.4768304E-18,2.10826E-16
6493.1606,7.799092E-17,3.490181E-18,2.2016743E-16
6497.3716,8.36851E-17,3.519149E-18,2.1978099E-16
6501.5825,8.3284164E-17,3.496065E-18,2.1618712E-16
6505.7935,8.497965E-17,3.477739E-18,2.0966105E-16
6510.005,7.747247E-17,3.4119999E-18,2.047655E-16
6514.216,7.455479E-17,3.3781911E-18,2.0122348E-16
6518.427,7.258002E-17,3.4024581E-18,2.1022978E-16
6522.6377,6.635368E-17,3.402914E-18,2.1898895E-16
6526.8486,7.4837386E-17,3.4175972E-18,2.1168077E-16
6531.0596,7.252598E-17,3.421124E-18,2.1606659E-16
6535.271,7.4485894E-17,3.4483501E-18,2.2079891E-16
6539.482,7.681228E-17,3.4773982E-18,2.2505758E-16
6543.693,8.200184E-17,3.4770843E-18,2.1838987E-16
6547.904,6.8936584E-17,3.4272394E-18,2.246347E-16
6552.1147,7.436219E-17,3.4546067E-18,2.24006E-16
