"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22575","2012-08-08 07:56:05.00","2456147.8306134","","ESO-NTT","EFOSC2-NTT","SMARTT","INSERRA","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO.asci","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","600","1.5","","1.074","","Gr13","Free","","3666.1965332","9320.24243164","5.5161423399415","","",""," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","72078","2012-08-08 07:56:05.00","2456147.8306134","","ESO-NTT","EFOSC2-NTT","SMARTT","INSERRA","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","","","","","","3665.662","9264.955","5.5165448275862","","","Released as part of DR1","WIS_Bot1","2023-05-04 13:56:43"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22589","2012-08-08 07:56:05.00","2456147.8306134","","ESO-NTT","EFOSC2-NTT","SMARTT","INSERRA","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","LSQ12dlf_2012-08-08_07-56-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","600","0","","1.07","","","","","3668.42041016","9262.1963729886","5.5111093229838","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","72077","2012-08-10 07:57:55.00","2456149.8318866","","ESO-NTT","EFOSC2-NTT","SMARTT/INSERRA/CELLIER-HOLZEM","WRIGHT/FRASER","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","LSQ12dlf_2012-08-10_07-57-55_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","LSQ12dlf_2012-08-10_07-57-55_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3355.746","7484.479","4.0838110781405","","","Released as part of DR1","WIS_Bot1","2023-05-04 13:56:43"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22590","2012-08-10 07:57:55.00","2456149.8318866","","ESO-NTT","EFOSC2-NTT","SMARTT/INSERRA/CELLIER-HOLZEM","WRIGHT/FRASER","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","LSQ12dlf_2012-08-10_07-57-55_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","LSQ12dlf_2012-08-10_07-57-55_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.04","","","","","3357.78808594","7482.4370002727","4.0797714286179","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22591","2012-08-10 08:28:45.00","2456149.8532986","","ESO-NTT","EFOSC2-NTT","SMARTT/INSERRA/CELLIER-HOLZEM","WRIGHT/FRASER","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","LSQ12dlf_2012-08-10_08-28-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","LSQ12dlf_2012-08-10_08-28-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.02","","","","","6010.99707031","10003.044811725","4.2021555172785","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","72076","2012-08-10 08:28:46.00","2456149.8533102","","ESO-NTT","EFOSC2-NTT","SMARTT/INSERRA/CELLIER-HOLZEM","WRIGHT/FRASER","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","LSQ12dlf_2012-08-10_08-28-46_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","LSQ12dlf_2012-08-10_08-28-46_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","6008.8936","10005.148","4.2065835789474","","","Released as part of DR1","WIS_Bot1","2023-05-04 13:56:43"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22578","2012-08-11 16:36:21.00","2456151.1919097","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO.dat","LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.128","RT560","","B3000","","3500","5699.5146484375","0.7772136566917","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22579","2012-08-11 16:36:21.00","2456151.1919097","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO_0.dat","LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO_0.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.128","RT560","","R3000","","5400","9554.349609375","1.2531974688914","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22580","2012-08-12 17:13:47.00","2456152.2179051","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO.dat","LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.059","RT560","","B3000","","3500","5699.48828125","0.77747906724991","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22581","2012-08-12 17:13:47.00","2456152.2179051","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO_0.dat","LSQ12dlf_2012-08-12_17-13-47_ANU-2.3m_WiFeS_PESSTO_0.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.059","RT560","","R3000","","5400","9552.642578125","1.2530605244795","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
"7561","","LSQ12dlf","27.6242","-21.8126","SLSN-I","0.25","22582","2012-08-13 14:55:06.00","2456153.1215972","","ANU-2.3m","WiFeS","Childress","Childress","PESSTO","Y","PESSTO","","LSQ12dlf_2012-08-13_14-55-06_ANU-2.3m_WiFeS_PESSTO.dat","LSQ12dlf_2012-08-13_14-55-06_ANU-2.3m_WiFeS_PESSTO.fits","Object","High","","Air","Angstrom","1","Other","","1199","0","","1.479","RT560","","B3000","","3500","5699.361328125","0.77743419163132","Childress et al. 2016","2016PASA...33...55C","WiFeS DR1 Spectra; obtained from Mike Childress. [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2012-08-08 13:18:01"
