WAVE,FLUX,ERR,SKYBACK
3359.9614,9.1371337E-17,1.6562962E-17,2.6105315E-16
3364.0476,5.0839258E-17,1.5769403E-17,2.705562E-16
3368.1338,8.95371E-17,1.5961115E-17,2.7124848E-16
3372.22,1.5470562E-16,1.6149333E-17,2.2285739E-16
3376.3062,7.939895E-17,1.5322831E-17,2.803538E-16
3380.3926,7.737062E-17,1.4979214E-17,2.772653E-16
3384.4788,7.183558E-17,1.4630069E-17,2.7448187E-16
3388.565,1.5341755E-16,1.4799752E-17,2.1709559E-16
3392.6511,1.1184963E-16,1.4346774E-17,2.4908105E-16
3396.7373,1.2553227E-16,1.4283396E-17,2.5231092E-16
3400.8237,5.602079E-17,1.3442148E-17,2.7914214E-16
3404.91,8.10289E-17,1.357614E-17,2.5490512E-16
3408.996,1.0039652E-16,1.334689E-17,2.5701425E-16
3413.0823,1.1795602E-16,1.3266459E-17,2.5363687E-16
3417.1685,8.80329E-17,1.27627285E-17,2.5602145E-16
3421.2546,7.2672356E-17,1.21950816E-17,2.3378165E-16
3425.341,1.174315E-16,1.22621204E-17,2.038698E-16
3429.4272,9.485933E-17,1.1911154E-17,2.1453882E-16
3433.5134,9.2800275E-17,1.1950987E-17,2.4201327E-16
3437.5996,1.0603788E-16,1.2201471E-17,2.756636E-16
3441.6858,9.037151E-17,1.1609043E-17,2.4549275E-16
3445.7722,9.181224E-17,1.1268044E-17,2.2218198E-16
3449.8584,8.6251406E-17,1.1055925E-17,2.2365301E-16
3453.9446,9.0720405E-17,1.089243E-17,2.1781452E-16
3458.0308,5.706579E-17,1.0432499E-17,2.2776036E-16
3462.117,8.9452694E-17,1.087333E-17,2.5471617E-16
3466.2031,8.70025E-17,1.06408506E-17,2.4496156E-16
3470.2896,8.682336E-17,1.0712869E-17,2.698811E-16
3474.3757,8.119742E-17,1.02147665E-17,2.3180473E-16
3478.462,4.4710237E-17,9.732922E-18,2.3945044E-16
3482.548,7.419266E-17,9.871126E-18,2.3063807E-16
3486.6343,7.1381075E-17,9.890831E-18,2.5143943E-16
3490.7207,5.609924E-17,9.692655E-18,2.6208907E-16
3494.807,6.045098E-17,9.540667E-18,2.5064425E-16
3498.893,6.38789E-17,9.340908E-18,2.3714138E-16
3502.9792,7.8905156E-17,9.336739E-18,2.2615936E-16
3507.0654,8.840887E-17,9.196081E-18,2.1021043E-16
3511.1516,8.254364E-17,8.958203E-18,2.0290228E-16
3515.238,7.404114E-17,8.765898E-18,2.0086779E-16
3519.3242,6.7554874E-17,8.7229504E-18,2.1542962E-16
3523.4104,6.074147E-17,8.6186885E-18,2.2321756E-16
3527.4966,7.226352E-17,8.8392446E-18,2.4782564E-16
3531.5828,7.275766E-17,8.77336E-18,2.5081927E-16
3535.6692,5.6175086E-17,8.672575E-18,2.7156837E-16
3539.7554,8.134728E-17,8.642826E-18,2.4354302E-16
3543.8416,4.9702242E-17,8.41927E-18,2.6913786E-16
3547.9277,6.72842E-17,8.265906E-18,2.354078E-16
3552.014,4.4633458E-17,7.915387E-18,2.3303994E-16
3556.1003,4.9392377E-17,7.659903E-18,2.0213484E-16
3560.1865,3.7823786E-17,7.35643E-18,1.9072882E-16
3564.2727,2.3474033E-17,6.9922595E-18,1.7770072E-16
3568.359,3.1787893E-17,6.885226E-18,1.5968907E-16
3572.445,4.4359383E-17,6.970649E-18,1.6056394E-16
3576.5312,4.6194715E-17,6.770272E-18,1.4405675E-16
3580.6177,4.0723958E-17,6.9015045E-18,1.749097E-16
3584.7039,4.2250185E-17,6.952699E-18,1.8514102E-16
3588.79,2.282152E-17,6.8643136E-18,2.096371E-16
3592.8762,3.4833707E-17,6.957345E-18,2.1289301E-16
3596.9624,4.0987967E-17,6.8096126E-18,1.9283217E-16
3601.0488,5.724559E-17,6.7419286E-18,1.7064933E-16
3605.135,2.9831587E-17,6.4570914E-18,1.8083824E-16
3609.2212,3.362832E-17,6.563022E-18,1.9510174E-16
3613.3074,6.799929E-17,6.9156133E-18,2.0028653E-16
3617.3936,4.300239E-17,6.6334777E-18,2.050132E-16
3621.4797,5.01664E-17,6.636484E-18,2.044625E-16
3625.5662,7.1050295E-17,6.802464E-18,2.044014E-16
3629.6523,4.0145044E-17,6.454845E-18,2.0791014E-16
3633.7385,4.9255707E-17,6.556392E-18,2.1574354E-16
3637.8247,4.5177902E-17,6.4599534E-18,2.1732465E-16
3641.911,8.013315E-17,6.6686747E-18,2.0233414E-16
3645.9973,6.6126175E-17,6.536236E-18,2.130359E-16
3650.0835,7.769338E-17,6.7785573E-18,2.3691578E-16
3654.1697,8.418635E-17,6.7085096E-18,2.2604975E-16
3658.2559,9.3347795E-17,6.6725724E-18,2.1510887E-16
3662.342,8.50359E-17,6.6357752E-18,2.2953267E-16
3666.4282,8.9137294E-17,6.517235E-18,2.1245057E-16
3670.5146,9.670859E-17,6.528658E-18,2.1164971E-16
3674.6008,1.1137945E-16,6.5160346E-18,1.9663906E-16
3678.687,1.0856167E-16,6.3876843E-18,1.882358E-16
3682.7732,1.0103264E-16,6.3132017E-18,1.9583557E-16
3686.8594,1.1511877E-16,6.5286417E-18,2.1538988E-16
3690.9458,9.548027E-17,6.3794626E-18,2.2824332E-16
3695.032,1.0795294E-16,6.43416E-18,2.2642985E-16
3699.1182,9.256729E-17,6.227694E-18,2.2243204E-16
3703.2043,1.2340534E-16,6.36394E-18,2.0738154E-16
3707.2905,1.1860593E-16,6.320988E-18,2.1509163E-16
3711.377,1.10945256E-16,6.1296155E-18,2.0089009E-16
3715.4631,1.1789646E-16,6.1272556E-18,1.9759594E-16
3719.5493,1.1168796E-16,6.0301326E-18,1.9716808E-16
3723.6355,1.266561E-16,6.0572224E-18,1.8860456E-16
3727.7217,1.2674752E-16,6.0276047E-18,1.8928803E-16
3731.8079,1.2379353E-16,5.9770623E-18,1.9205511E-16
3735.8943,1.2627264E-16,5.917343E-18,1.8584853E-16
3739.9805,1.1656327E-16,5.7978735E-18,1.8568381E-16
3744.0667,1.2334945E-16,5.806561E-18,1.8413521E-16
3748.1528,1.2557858E-16,5.7545963E-18,1.7857788E-16
3752.239,1.0664864E-16,5.6262067E-18,1.9035897E-16
3756.3254,1.0368157E-16,5.5587542E-18,1.8938415E-16
3760.4116,8.7764564E-17,5.3458268E-18,1.8314372E-16
3764.4978,1.0734747E-16,5.517809E-18,1.8817128E-16
3768.584,9.923389E-17,5.478126E-18,1.9940147E-16
3772.6702,1.00891E-16,5.5894695E-18,2.2174216E-16
3776.7563,1.0469445E-16,5.645877E-18,2.3101823E-16
3780.8428,1.1285962E-16,5.5797232E-18,2.1399503E-16
3784.929,1.0776962E-16,5.4390368E-18,2.0271275E-16
3789.0151,1.02598275E-16,5.266272E-18,1.8637306E-16
3793.1013,1.1262083E-16,5.2372605E-18,1.7262268E-16
3797.1875,9.9961965E-17,5.1434976E-18,1.7949221E-16
3801.274,1.00364914E-16,5.185239E-18,1.9038213E-16
3805.36,9.595627E-17,5.1996114E-18,2.0489055E-16
3809.4463,9.438925E-17,5.0861355E-18,1.9198345E-16
3813.5325,1.00453475E-16,5.0102565E-18,1.7635319E-16
3817.6187,1.0380475E-16,4.9043712E-18,1.5867074E-16
3821.7048,1.01305306E-16,4.782327E-18,1.4603784E-16
3825.7913,1.08267956E-16,4.7227265E-18,1.3116448E-16
3829.8774,8.9823774E-17,4.615134E-18,1.4364713E-16
3833.9636,8.982815E-17,4.5868852E-18,1.4227769E-16
3838.0498,1.0319338E-16,4.6990485E-18,1.4587558E-16
3842.136,9.7631526E-17,4.732895E-18,1.6319548E-16
3846.2224,9.8005596E-17,4.780342E-18,1.7498294E-16
3850.3086,1.0685114E-16,4.757455E-18,1.6236106E-16
3854.3948,1.0862053E-16,4.684186E-18,1.5120856E-16
3858.481,1.0087637E-16,4.631836E-18,1.5679129E-16
3862.5671,9.958024E-17,4.595393E-18,1.5582123E-16
3866.6533,1.1049549E-16,4.650505E-18,1.5378843E-16
3870.7397,9.9770694E-17,4.5462785E-18,1.5499509E-16
3874.826,9.765114E-17,4.4951596E-18,1.5286917E-16
3878.912,1.0172605E-16,4.509033E-18,1.5321548E-16
3882.9983,9.8066186E-17,4.4222813E-18,1.4563608E-16
3887.0845,9.615656E-17,4.435703E-18,1.540535E-16
3891.171,9.625791E-17,4.4526363E-18,1.595309E-16
3895.257,1.0173654E-16,4.562144E-18,1.740397E-16
3899.3433,9.593262E-17,4.5104413E-18,1.7633728E-16
3903.4294,1.02854834E-16,4.605251E-18,1.8645654E-16
3907.5156,1.0192926E-16,4.5981303E-18,1.9023996E-16
3911.602,9.916154E-17,4.6134514E-18,1.9981932E-16
3915.6882,1.0172992E-16,4.5484573E-18,1.8696344E-16
3919.7744,1.0305785E-16,4.4669573E-18,1.7313859E-16
3923.8606,1.09354184E-16,4.3234973E-18,1.4177303E-16
3927.9468,1.05736896E-16,4.1122184E-18,1.130426E-16
3932.033,1.0238893E-16,3.9961683E-18,1.0067222E-16
3936.1194,1.0605676E-16,4.042177E-18,1.05808973E-16
3940.2056,1.1167957E-16,4.22598E-18,1.3091728E-16
3944.2917,1.1335053E-16,4.3535053E-18,1.5346082E-16
3948.378,1.1422327E-16,4.47362E-18,1.7728045E-16
3952.464,1.1523045E-16,4.492448E-18,1.80931E-16
3956.5505,1.1560393E-16,4.447022E-18,1.7423792E-16
3960.6367,1.0725205E-16,4.241507E-18,1.5099898E-16
3964.723,1.2374183E-16,4.166243E-18,1.1673453E-16
3968.809,1.2032348E-16,4.07439E-18,1.073653E-16
3972.8953,1.1730535E-16,4.143011E-18,1.253805E-16
3976.9814,1.3463307E-16,4.4223545E-18,1.5474053E-16
3981.0679,1.2687538E-16,4.525158E-18,1.881485E-16
3985.154,1.1684066E-16,4.5129295E-18,2.0170593E-16
3989.2402,1.2619114E-16,4.5715253E-18,2.0238101E-16
3993.3264,1.1366415E-16,4.5042437E-18,2.0854678E-16
3997.4126,1.1995401E-16,4.5346364E-18,2.0770497E-16
4001.499,1.09130765E-16,4.479754E-18,2.1460157E-16
4005.5852,1.084306E-16,4.4833293E-18,2.1786313E-16
4009.6714,1.06396033E-16,4.5170344E-18,2.3008949E-16
4013.7576,1.0162844E-16,4.4820823E-18,2.315257E-16
4017.8438,9.615708E-17,4.4544797E-18,2.3556243E-16
4021.93,9.9266114E-17,4.4350116E-18,2.3112236E-16
4026.0164,9.758119E-17,4.4330615E-18,2.3336067E-16
4030.1025,1.07558904E-16,4.4039708E-18,2.1514006E-16
4034.1887,1.0112435E-16,4.3359157E-18,2.1248492E-16
4038.275,9.844653E-17,4.319089E-18,2.1510571E-16
4042.361,1.04766825E-16,4.3830808E-18,2.2123163E-16
4046.4475,9.5250403E-17,4.488597E-18,2.2120242E-16
4050.5337,1.09934295E-16,4.4256177E-18,2.2050519E-16
4054.6199,1.02911466E-16,4.3391587E-18,2.1951511E-16
4058.706,1.0387449E-16,4.3034535E-18,2.1219773E-16
4062.7922,1.0895E-16,4.3035176E-18,2.0657368E-16
4066.8787,1.0605238E-16,4.285146E-18,2.0865121E-16
4070.9648,1.0334701E-16,4.248906E-18,2.0750113E-16
4075.051,1.1300059E-16,4.2974117E-18,2.0442787E-16
4079.1372,1.0521859E-16,4.273956E-18,2.1234621E-16
4083.2234,1.00895666E-16,4.2809947E-18,2.2151799E-16
4087.3096,1.10172444E-16,4.3088066E-18,2.1559911E-16
4091.396,1.09356195E-16,4.3409706E-18,2.252059E-16
4095.4822,1.09827536E-16,4.276566E-18,2.127393E-16
4099.5684,1.1146486E-16,4.208062E-18,1.9726732E-16
4103.655,9.918665E-17,4.1195125E-18,1.9829122E-16
4107.7407,1.10696976E-16,4.1803342E-18,1.9568183E-16
4111.827,1.136854E-16,4.248038E-18,2.0660923E-16
4115.913,1.1561031E-16,4.3034266E-18,2.1653516E-16
4119.9995,1.0454572E-16,4.230679E-18,2.1964536E-16
4124.086,1.1185386E-16,4.2905594E-18,2.219737E-16
4128.172,1.086789E-16,4.211201E-18,2.1130492E-16
4132.2583,9.426391E-17,4.137658E-18,2.1911355E-16
4136.344,1.078056E-16,4.2042815E-18,2.1388561E-16
4140.4307,1.123755E-16,4.209377E-18,2.0971305E-16
4144.517,1.00519776E-16,4.151828E-18,2.1592912E-16
4148.603,9.600902E-17,4.096748E-18,2.1325383E-16
4152.6895,9.4668565E-17,4.097562E-18,2.1588081E-16
4156.7754,1.020025E-16,4.1536812E-18,2.1870355E-16
4160.862,9.535625E-17,4.104881E-18,2.1953498E-16
4164.9478,1.0182309E-16,4.1620424E-18,2.230159E-16
4169.034,1.023883E-16,4.1426984E-18,2.189006E-16
4173.1206,1.1175018E-16,4.151191E-18,2.0873752E-16
4177.2065,9.2129E-17,4.0361343E-18,2.1443481E-16
4181.293,1.0637213E-16,4.080768E-18,2.0375974E-16
4185.379,1.0662023E-16,4.077846E-18,2.0428031E-16
4189.4653,1.04444006E-16,4.0341214E-18,1.9908559E-16
4193.552,1.0039486E-16,4.0140387E-18,2.0256669E-16
