WAVE,FLUX,ERR,SKYBACK
3357.6611,7.4599614E-17,1.8671338E-17,4.6982542E-17
3361.7478,8.969451E-17,1.8372959E-17,4.255866E-17
3365.8345,9.368844E-17,1.7857291E-17,2.7262756E-17
3369.9211,1.1184701E-16,1.7271128E-17,-8.849073E-18
3374.0078,1.1944428E-16,1.7252938E-17,1.5094731E-17
3378.0945,1.0218469E-16,1.6496997E-17,1.0372752E-17
3382.1814,9.882317E-17,1.5884629E-17,-6.916461E-18
3386.268,6.823365E-17,1.5324474E-17,2.5563822E-17
3390.3547,1.1237793E-16,1.5304024E-17,-1.6228764E-17
3394.4414,1.4958316E-16,1.5689514E-17,-3.2312105E-18
3398.528,1.3626203E-16,1.5175374E-17,-2.9974337E-18
3402.6147,1.291021E-16,1.4780943E-17,6.5197698E-18
3406.7014,1.0871414E-16,1.4194219E-17,2.563225E-18
3410.7883,1.48421E-16,1.4559047E-17,1.5429476E-17
3414.875,1.3250594E-16,1.3990562E-17,5.608439E-18
3418.9617,1.3785161E-16,1.4499831E-17,3.1083393E-17
3423.0483,1.4496302E-16,1.37253384E-17,1.1890647E-17
3427.135,1.474969E-16,1.3472783E-17,1.4898866E-17
3431.2217,1.5365842E-16,1.348788E-17,2.848551E-17
3435.3083,1.7650369E-16,1.3625884E-17,2.8574286E-17
3439.3953,1.4542185E-16,1.3053691E-17,3.7052206E-17
3443.482,1.7806635E-16,1.29959645E-17,6.7322977E-18
3447.5686,1.6527221E-16,1.2553561E-17,5.162975E-19
3451.6553,1.7876485E-16,1.2683293E-17,1.6025819E-17
3455.742,1.3732146E-16,1.18494045E-17,9.824506E-18
3459.8286,1.613072E-16,1.21639415E-17,2.6083033E-17
3463.9153,1.384343E-16,1.18845075E-17,4.9866448E-17
3468.0022,1.603927E-16,1.19908565E-17,4.6934622E-17
3472.0889,1.4108447E-16,1.1548173E-17,5.068182E-17
3476.1755,1.428428E-16,1.14584045E-17,4.1211147E-17
3480.2622,1.211194E-16,1.09046716E-17,4.1317096E-17
3484.3489,1.4496946E-16,1.0830232E-17,1.5756968E-17
3488.4355,1.2872704E-16,1.0412041E-17,9.734037E-18
3492.5222,1.198331E-16,1.01459716E-17,1.1766342E-17
3496.6091,8.68091E-17,9.808472E-18,3.9448243E-17
3500.6958,1.0965439E-16,9.858261E-18,2.2350695E-17
3504.7825,9.201581E-17,9.666353E-18,4.3266188E-17
3508.8691,1.1155554E-16,9.509551E-18,9.005775E-18
3512.9558,1.5879613E-16,1.00776175E-17,1.2360914E-17
3517.0425,1.4015011E-16,9.6326175E-18,3.6043895E-18
3521.1292,1.3328069E-16,9.611162E-18,2.627271E-17
3525.216,1.351542E-16,9.511188E-18,2.3325792E-17
3529.3027,1.5025382E-16,9.853986E-18,5.139298E-17
3533.3894,1.3913748E-16,9.81778E-18,7.683162E-17
3537.476,1.4120386E-16,9.602658E-18,6.1739523E-17
3541.5627,1.6113936E-16,9.6987125E-18,5.466867E-17
3545.6494,1.3578957E-16,9.342052E-18,6.1234196E-17
3549.736,1.5128824E-16,9.263115E-18,4.490537E-17
3553.823,1.2785171E-16,8.781042E-18,2.866025E-17
3557.9097,1.3850967E-16,8.983372E-18,4.8295843E-17
3561.9963,1.5882023E-16,8.8774785E-18,1.3982499E-17
3566.083,1.3887067E-16,8.477497E-18,7.902271E-18
3570.1697,1.3383672E-16,8.305934E-18,6.254369E-18
3574.2563,1.3415771E-16,8.318103E-18,1.6368578E-17
3578.343,1.4699631E-16,8.395607E-18,1.3910751E-17
3582.43,1.4993034E-16,8.242204E-18,1.1039917E-18
3586.5166,1.5226045E-16,8.26727E-18,1.0120364E-17
3590.6033,1.3363769E-16,8.025442E-18,2.0802633E-17
3594.69,1.2821258E-16,7.8440975E-18,1.4766648E-17
3598.7766,1.4502688E-16,7.977208E-18,1.3407121E-17
3602.8633,1.5581945E-16,7.938069E-18,2.3829576E-18
3606.95,1.5963583E-16,8.044016E-18,1.9190153E-17
3611.0369,1.3251422E-16,7.7398595E-18,2.978646E-17
3615.1235,1.4668403E-16,7.873705E-18,3.2835272E-17
3619.2102,1.5299382E-16,7.8503824E-18,3.146406E-17
3623.2969,1.6043954E-16,7.961221E-18,4.0094675E-17
3627.3835,1.3076984E-16,7.593508E-18,4.9428174E-17
3631.4702,1.4634429E-16,7.587253E-18,3.210913E-17
3635.557,1.4624694E-16,7.5265875E-18,3.280022E-17
3639.6438,1.4527332E-16,7.473977E-18,3.5191178E-17
3643.7305,1.6120705E-16,7.470469E-18,1.7954306E-17
3647.8171,1.4566273E-16,7.270782E-18,2.5095039E-17
3651.9038,1.4729166E-16,7.274277E-18,3.1705174E-17
3655.9905,1.5983709E-16,7.346111E-18,3.01847E-17
3660.0771,1.6008221E-16,7.247384E-18,2.4066603E-17
3664.1638,1.4264497E-16,6.9812745E-18,2.3552499E-17
3668.2507,1.6507046E-16,7.0876665E-18,9.666895E-18
3672.3374,1.5728483E-16,7.012172E-18,2.1052471E-17
3676.424,1.330026E-16,6.6479493E-18,1.900828E-17
3680.5107,1.4793921E-16,6.7923655E-18,1.9568016E-17
3684.5974,1.425047E-16,6.5887686E-18,1.0533656E-17
3688.684,1.5629678E-16,6.802865E-18,2.4431196E-17
3692.7708,1.5811629E-16,6.806642E-18,2.897389E-17
3696.8577,1.5405855E-16,6.7324875E-18,3.1889192E-17
3700.9443,1.494763E-16,6.5973436E-18,2.7104553E-17
3705.031,1.4422091E-16,6.543949E-18,3.5591626E-17
