"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19626","2014-03-08 07:40:48.00","2456724.82","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","PS1-14bj_2014-03-08_07-40-48_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","3600","0","","1.21","","","300GPM","","3330","8552.1","1.9492721164614","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19627","2014-03-28 08:38:24.00","2456744.86","","Gemini-N","GMOS","Unknown","Unknown","","Y","","","PS1-14bj_2014-03-28_08-38-24_Gemini-N_GMOS_None.flm","","Object","","","Air","Angstrom","1","Other","","3600","0","","1.06","","OG515","R400","","5642","9910.92","1.3695604748155","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19628","2014-04-27 08:09:36.00","2456774.84","","Gemini-N","GMOS","Unknown","Unknown","","Y","","","PS1-14bj_2014-04-27_08-09-36_Gemini-N_GMOS_None.flm","","Object","","","Air","Angstrom","1","Other","","2435","0","","1.26","","OG515","R400","","5485","9749.81","1.3695600513809","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19629","2014-04-28 04:48:00.00","2456775.7","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","PS1-14bj_2014-04-28_04-48-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","8000","0","","1.29","","","300GPM","","3327","8545.2","1.949271572656","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19630","2014-05-03 23:45:36.00","2456781.49","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","PS1-14bj_2014-05-03_23-45-36_Gemini-S_GMOS-S_None.flm","","Object","","","Air","Angstrom","1","Other","","3600","0","","1.21","","","B600","","3590","6431.93","0.90970870678617","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19631","2014-06-25 23:45:36.00","2456834.49","","Magellan-Clay","LDSS-3","Unknown","Unknown","","Y","","","PS1-14bj_2014-06-25_23-45-36_Magellan-Clay_LDSS-3_None.flm","","Object","","","Air","Angstrom","1","Other","","1500","0","","1.84","","","VPH-All","","3900.91","10632.4","2.0094","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19632","2014-06-27 23:45:36.00","2456836.49","","Magellan-Clay","LDSS-3","Unknown","Unknown","","Y","","","PS1-14bj_2014-06-27_23-45-36_Magellan-Clay_LDSS-3_None.flm","","Object","","","Air","Angstrom","1","Other","","3600","0","","2.01","","OG590","VPH-Red","","5925","10667.08","1.1597163120567","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19633","2014-12-19 07:12:00.00","2457010.8","","Magellan-Baade","IMACS","Unknown","Unknown","","Y","","","PS1-14bj_2014-12-19_07-12-00_Magellan-Baade_IMACS_None.flm","","Object","","","Air","Angstrom","1","Other","","7200","0","","1.33","","","200/+15","","4500.23","10139.69","1.9293397194663","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19634","2015-01-15 06:28:48.00","2457037.77","","Magellan-Baade","IMACS","Unknown","Unknown","","Y","","","PS1-14bj_2015-01-15_06-28-48_Magellan-Baade_IMACS_None.flm","","Object","","","Air","Angstrom","1","Other","","3600","0","","1.21","","","300/+17.5","","3684","9446.5","1.2497289091303","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
"6561","","PS1-14bj","150.535137","3.655283","SLSN-I","0.5215","19635","2015-03-28 07:40:48.00","2457109.82","","Gemini-N","GMOS","Unknown","Unknown","","Y","","","PS1-14bj_2015-03-28_07-40-48_Gemini-N_GMOS_None.flm","","Object","","","Air","Angstrom","1","Other","","7200","0","","1.06","","OG515","R400","","5982","10313.82","1.3795605095541","Lunnan et al. 2016","2016ApJ...831..144L","[Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2017-07-06 13:13:14"
