"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1350","2009-08-12 00:00:00.00","2455055.5","","WHT-4.2m","ISIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-08-12_00-00-00_WHT-4.2m_ISIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3262.4851952","8150.4614033","5.3303993545256","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1353","2009-08-16 00:00:00.00","2455059.5","","P200","DBSP","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-08-16_00-00-00_P200_DBSP_PTF_1.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3153.4737777","10236.6138055","6.0077523560645","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1354","2009-08-25 00:00:00.00","2455068.5","","Keck1","LRIS","Kasliwal, Arcavi, Mishra","Robert Quimby","PTF","Y","PTF","","PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","560","400/3400","400/8500","","3041.0931","10307.228","1.0693355261221","Quimby et al. 2011","2011Natur.474..484Q","Spectrum not on marshal; observers,reducer,exptime uncertain. [Prev. spec info - createdby: admin; modifiedby: admin]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1355","2009-08-25 00:00:00.00","2455068.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3185.1501244","10287.8976805","6.0500405077513","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1356","2009-09-15 00:00:00.00","2455089.5","","WHT-4.2m","ISIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-09-15_00-00-00_WHT-4.2m_ISIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3191.5308055","8069.4012217","5.2506678322928","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1359","2009-09-23 00:00:00.00","2455097.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-09-23_00-00-00_Keck1_LRIS_PTF_1.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3172.4394587","10287.8976805","6.0402871152801","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1362","2009-10-12 00:00:00.00","2455116.5","","WHT-4.2m","ISIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-10-12_00-00-00_WHT-4.2m_ISIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3194.7148473","8150.4614033","5.2833118933902","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1364","2009-10-17 00:00:00.00","2455121.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-10-17_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3210.7229305","8802.5278608","5.5364405250495","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1366","2009-10-23 00:00:00.00","2455127.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2009-10-23_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3551.7890277","10195.7629445","6.2916419666667","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","50703","2009-10-23 05:49:55.00","2455127.7429977","","Keck1","LRIS","Ryan Foley, Alex Filippenko","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","PTF_09cnd_2009-10-23_05-49-55_Keck1_LRIS_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3482","10196","1.9994044073853","","2019MNRAS.482.1545S","SNR: 19.9812;","WIS_Bot1","2019-01-23 10:48:35"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1368","2010-01-14 00:00:00.00","2455210.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2010-01-14_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3371.8865142","10155.0884458","6.1442046481884","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1369","2010-02-11 00:00:00.00","2455238.5","","Keck1","LRIS","S. Kulkarni, S. Tendulkar, R. Quimby","Robert Quimby","PTF","Y","PTF","","PTF09cnd_2010-02-11_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","900","1","","","560","400/3400","400/8500","","3039.1394","10249.033","1.0698758866301","Quimby et al. 2011","2011Natur.474..484Q",""," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1370","2010-02-11 00:00:00.00","2455238.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2010-02-11_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3301.8508048","10165.231415","6.0953646626998","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1372","2010-07-09 00:00:00.00","2455386.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2010-07-09_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3866.74125","10013.9600837","6.4503870238195","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1374","2010-09-05 00:00:00.00","2455444.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2010-09-05_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3226.8065973","10084.2726262","6.0100491050833","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1375","2011-07-02 00:00:00.00","2455744.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF09cnd_2011-07-02_00-00-00_Keck1_LRIS_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3433.1124163","9993.9623467","6.131635448972","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
"443","","PTF09cnd","243.037252","51.48782","SLSN-I","0.258","1376","2014-05-27 11:26:05.00","2456804.9764468","","Keck1","LRIS","Perley","Perley","","Y","","","PTF09cnd_2014-05-27_11-26-05_Keck1_LRIS_None.spec","","Host","","","Air","Angstrom","1","Other","","1501","0","","1.216","560","400/3400","400/8500","","3069.5691","10115.376","1.4202392461197","Perley et al. 2016","2016ApJ...830...13P","host spectrum [Data obtained from:Perley, D.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2010-12-22 15:44:30"
