"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20877","2012-05-20 00:00:00.00","2456067.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","PTF12dam_2012-05-20_00-00-00_Lick-3m_KAST_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3468.0364777","5497.9733899","4.3938028402597","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20879","2012-05-21 00:00:00.00","2456068.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","PTF12dam_2012-05-21_00-00-00_Lick-3m_KAST_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3450.748554","10237.907373","6.2324690716253","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","49672","2012-05-21 10:13:26.00","2456068.9259954","","Lick-3m","KAST","Brad Cenko","Jeffrey Silverman","UCB-SNDB","Y","UCB-SNDB","","PTF_12dam_2012-05-21_10-13-26_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3448","10240","1.9994112452164","","2019MNRAS.482.1545S","SNR: 19.7772;","WIS_Bot1","2019-01-23 10:48:35"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20881","2012-05-22 00:00:00.00","2456069.5","","Keck1","LRIS","NA","NA","PTF","Y","PTF","","PTF12dam_2012-05-22_00-00-00_Keck1_LRIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3169.6760859","10237.907373","6.0206399379046","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20900","2012-05-23 00:00:00.00","2456070.5","","Ekar","AFOSC","Unknown","Unknown","","Y","","","PTF12dam_2012-05-23_00-00-00_Ekar_AFOSC_None.txt","PTF12dam_2012-05-23_00-00-00_Ekar_AFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","2700","2.1","","1.098","","Gr04","","","3400","8202.5997810364","4.8122242294954","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20901","2012-05-24 00:00:00.00","2456071.5","","GTC","OSIRIS","Unknown","Unknown","","Y","","","PTF12dam_2012-05-24_00-00-00_GTC_OSIRIS_None.txt","PTF12dam_2012-05-24_00-00-00_GTC_OSIRIS_None.fits","Object","","","Air","Angstrom","1","Other","","900","1","","1.35002","","R300R","","","3533.3400878906","9998.13671875","5.2093445857046","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20903","2012-05-25 00:00:00.00","2456072.5","","WHT-4.2m","ISIS","Unknown","Unknown","","Y","","","PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None_0.txt","PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None_0.fits","Object","","","Air","Angstrom","1","Other","","900","0.7","","1.10712","5300","R158R","","","5500","9498.1908965111","1.8083179088698","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20902","2012-05-25 00:00:00.00","2456072.5","","WHT-4.2m","ISIS","Unknown","Unknown","","Y","","","PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None.txt","PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None.fits","Object","","","Air","Angstrom","1","Other","","900","0.7","","1.08918","5300","R300B","","","3250","5098.2734158039","0.86287274313908","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20883","2012-05-25 00:00:00.00","2456072.5","","WHT-4.2m","ISIS","NA","NA","PTF","Y","PTF","","PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_PTF_0.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3502.8675689","9488.9821289","5.9981107815631","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20884","2012-05-26 00:00:00.00","2456073.5","","HST","WFC3","NA","NA","PTF","Y","PTF","","PTF12dam_2012-05-26_00-00-00_HST_WFC3_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","1903.8146716","5183.1108154","3.2694876807577","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20904","2012-06-01 00:00:00.00","2456079.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","PTF12dam_2012-06-01_00-00-00_NOT_ALFOSC_None.txt","PTF12dam_2012-06-01_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","900","1","","1.04767","","Gr04","","","3500","8997.0205640793","2.9778009556226","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20905","2012-06-08 00:00:00.00","2456086.5","","NOT","ALFOSC","Unknown","Unknown","","Y","","","PTF12dam_2012-06-08_00-00-00_NOT_ALFOSC_None.txt","PTF12dam_2012-06-08_00-00-00_NOT_ALFOSC_None.fits","Object","","","Air","Angstrom","1","Other","","1200","1","","1.04953","","Gr04","","","3500","8997.0174355507","2.9810289780644","Nicholl et al. 2013","2013Natur.502..346N","[Data obtained from: Nicholl, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
"7037","","PTF12dam","216.192501","46.230089","SLSN-I","0.1075","20886","2012-06-14 00:00:00.00","2456092.5","","Lick-3m","KAST","NA","NA","PTF","Y","PTF","","PTF12dam_2012-06-14_00-00-00_Lick-3m_KAST_PTF.dat","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3538.0636811","9995.2318433","6.2088155405769","Quimby et al. 2018","2018ApJ...855....2Q","Spectrum is the smoothed version. For the unbinned versions check the related files - clipped or raw.  [Data obtained from:R. Quimby] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-06-28 09:25:07"
