WAVE,FLUX,ERR,SKYBACK
3647.4006,3.9683953E-18,5.217464E-18,7.5844336E-17
3652.9246,-5.934299E-18,5.475701E-18,9.0318045E-17
3658.4482,8.7540425E-18,5.6547225E-18,5.575468E-17
3663.9722,4.410997E-18,5.698184E-18,3.9519325E-17
3669.4958,1.2428682E-17,5.923028E-18,2.0002734E-17
3675.0198,3.3261938E-17,6.367765E-18,1.1105151E-17
3680.5435,4.6166444E-19,6.3343436E-18,5.2126682E-17
3686.0674,1.10485216E-17,6.6357037E-18,5.539932E-17
3691.5913,1.4250537E-17,7.0069295E-18,7.947379E-17
3697.115,8.58382E-18,7.064281E-18,8.271469E-17
3702.639,-5.6744817E-18,7.012715E-18,7.3449714E-17
3708.1626,4.887026E-19,6.962327E-18,6.103266E-17
3713.6865,8.9923615E-18,6.999985E-18,5.4251153E-17
3719.2102,1.34615935E-17,7.28784E-18,8.2680335E-17
3724.7341,8.203027E-18,7.304617E-18,9.992056E-17
3730.2578,-1.3077597E-17,7.457161E-18,1.3355215E-16
3735.7817,1.5424022E-17,7.3992935E-18,1.2060513E-16
3741.3054,1.5193448E-17,7.205549E-18,1.0706723E-16
3746.8293,1.0228874E-17,6.916818E-18,8.5473373E-17
3752.353,1.2445276E-17,6.67284E-18,6.403134E-17
3757.877,4.714574E-18,6.4211955E-18,5.4757715E-17
3763.4006,8.728367E-18,6.461123E-18,6.222818E-17
3768.9246,2.0401905E-17,6.4737198E-18,5.800056E-17
3774.4482,-8.005927E-18,6.287747E-18,6.81315E-17
3779.9722,5.5704456E-18,6.2339594E-18,6.461484E-17
3785.4958,2.9167623E-17,6.4030153E-18,6.201908E-17
3791.0198,6.2721384E-18,6.0480233E-18,5.4160292E-17
3796.5435,2.1329317E-17,6.1407076E-18,5.1798143E-17
3802.0674,1.9392614E-17,6.122321E-18,5.638526E-17
3807.591,1.6436802E-17,6.0932825E-18,6.3051875E-17
3813.115,9.2468296E-18,6.110315E-18,7.9185974E-17
3818.6387,1.4052729E-18,6.183669E-18,9.9757644E-17
3824.1626,-2.8551094E-18,6.2478606E-18,1.1217147E-16
3829.6863,1.896781E-17,6.2383327E-18,9.7208585E-17
3835.2102,1.8667942E-18,6.1200194E-18,1.0751285E-16
3840.734,3.20565E-18,5.911547E-18,8.9018934E-17
3846.2578,2.1851064E-17,5.999375E-18,6.631904E-17
3851.7815,1.8317342E-17,5.886701E-18,6.376576E-17
3857.3054,-1.0530657E-17,5.637041E-18,6.28171E-17
3862.8293,1.3885722E-17,5.5574245E-18,4.592004E-17
3868.353,6.0049102E-18,5.3998284E-18,4.757585E-17
3873.877,1.1874063E-17,5.32197E-18,3.8156707E-17
3879.4006,1.1731087E-17,5.2389017E-18,3.5501526E-17
3884.9246,1.770484E-17,5.1858633E-18,3.078406E-17
3890.4482,1.0872353E-17,5.1335205E-18,3.809082E-17
3895.9722,2.0787938E-18,5.225383E-18,6.6046494E-17
3901.4958,6.3469337E-18,5.2960355E-18,7.42095E-17
3907.0198,6.5965354E-18,5.3363084E-18,8.566895E-17
3912.5435,6.531626E-18,5.276922E-18,8.610326E-17
3918.0674,2.1548081E-17,5.1247404E-18,5.4354025E-17
3923.591,2.1033535E-17,4.9643704E-18,4.3198766E-17
3929.115,-5.710245E-18,4.7566066E-18,5.0137058E-17
3934.6387,8.2997905E-18,4.8503766E-18,5.71731E-17
3940.1626,1.0728204E-17,4.9258113E-18,6.7377335E-17
3945.6863,1.2588971E-17,4.9320954E-18,7.148932E-17
3951.2102,1.0421681E-17,4.775204E-18,5.964542E-17
3956.734,1.02525745E-17,4.6611425E-18,5.041274E-17
3962.2578,8.4820175E-18,4.5182148E-18,4.1880803E-17
3967.7815,-1.1232665E-18,4.473877E-18,4.978033E-17
3973.3054,5.8865324E-18,4.54681E-18,5.5049687E-17
3978.829,5.2830636E-18,4.5244757E-18,5.7900625E-17
3984.353,7.73442E-18,4.6293883E-18,6.993833E-17
3989.8767,9.832922E-18,4.563184E-18,6.307483E-17
3995.4006,1.0305197E-17,4.542767E-18,6.3829094E-17
4000.9243,9.323605E-18,4.53669E-18,6.627459E-17
4006.4482,1.3799302E-17,4.711207E-18,8.5115303E-17
4011.972,7.015243E-18,4.7172328E-18,8.2072854E-17
4017.4958,2.1429654E-17,4.684484E-18,7.957981E-17
4023.0195,7.0197665E-18,4.52244E-18,8.1277324E-17
4028.5435,1.9363314E-17,4.5575807E-18,7.22996E-17
4034.0671,1.690473E-17,4.540495E-18,7.682471E-17
4039.591,7.1113065E-18,4.5093346E-18,8.893416E-17
4045.115,-4.2181463E-18,4.520744E-18,1.01467354E-16
4050.6387,1.6232301E-17,4.5514104E-18,8.857798E-17
