"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","613","2012-08-18 05:43:05.00","2456157.7382523","","ESO-NTT","EFOSC2-NTT","INSERRA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","600","0","","1.12","","","","","3651.46850586","9248.3075227762","5.5141271102622","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-18 16:51:36"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","599","2012-08-18 05:43:05.00","2456157.7382523","","ESO-NTT","EFOSC2-NTT","INSERRA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO","Y","PESSTO","","SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO.asci","SSS120810-231802-560926_2012-08-18_05-43-05_ESO-NTT_EFOSC2-NTT_PESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","600","1","","1.126","","Gr13","Free","","3648.33227539","9304.84790039","5.5185518292683","","",""," Migration From WISeREP1.0","2012-08-18 16:51:36"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","76850","2012-08-18 05:43:06.00","2456157.7382639","","ESO-NTT","EFOSC2-NTT","INSERRA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SSS120810-231802-560926_2012-08-18_05-43-06_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SSS120810-231802-560926_2012-08-18_05-43-06_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","600","","","","","","","","3648.7087","9251.067","5.5195648275862","","","Released as part of DR1","WIS_Bot1","2023-05-04 14:04:01"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","614","2012-08-19 06:44:20.00","2456158.780787","","ESO-NTT","EFOSC2-NTT","INSERAA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","SSS120810-231802-560926_2012-08-19_06-44-20_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","SSS120810-231802-560926_2012-08-19_06-44-20_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.14","","","","","3652.46850586","9249.3075227762","5.5141271102622","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-18 16:51:36"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","76849","2012-08-19 06:44:21.00","2456158.7807986","","ESO-NTT","EFOSC2-NTT","INSERAA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SSS120810-231802-560926_2012-08-19_06-44-21_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SSS120810-231802-560926_2012-08-19_06-44-21_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3649.7087","9252.067","5.5195648275862","","","Released as part of DR1","WIS_Bot1","2023-05-04 14:04:01"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","615","2012-08-25 04:34:24.00","2456164.6905556","","ESO-NTT","EFOSC2-NTT","INSERRA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","SSS120810-231802-560926_2012-08-25_04-34-24_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","SSS120810-231802-560926_2012-08-25_04-34-24_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.14","","","","","3652.03100586","9248.3009281134","5.5135664258654","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-18 16:51:36"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","76848","2012-08-25 04:34:24.00","2456164.6905556","","ESO-NTT","EFOSC2-NTT","INSERRA/CELLIER-HOLZEM","FRASER/WRIGHT","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SSS120810-231802-560926_2012-08-25_04-34-24_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SSS120810-231802-560926_2012-08-25_04-34-24_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3649.2715","9251.061","5.5190044334975","","","Released as part of DR1","WIS_Bot1","2023-05-04 14:04:01"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","616","2012-09-16 05:09:45.00","2456186.7151042","","ESO-NTT","EFOSC2-NTT","Arcavi,Pan","Pan","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","SSS120810-231802-560926_2012-09-16_05-09-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","SSS120810-231802-560926_2012-09-16_05-09-45_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.15","","","","","3654.49853516","9248.2938385074","5.5111283776822","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-18 16:51:36"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","76847","2012-09-16 05:09:46.00","2456186.7151157","","ESO-NTT","EFOSC2-NTT","Arcavi,Pan","Pan","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SSS120810-231802-560926_2012-09-16_05-09-46_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SSS120810-231802-560926_2012-09-16_05-09-46_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800","","","","","","","","3651.7402","9251.052","5.5165633497537","","","Released as part of DR1","WIS_Bot1","2023-05-04 14:04:01"
"225","","SSS120810-231802-560926","349.5076","-56.1571","SLSN-I","0.17","617","2012-09-16 05:40:19.00","2456186.736331","","ESO-NTT","EFOSC2-NTT","Arcavi,Pan","Pan","PESSTO-SSDR1-2","Y","PESSTO-SSDR1-2","","SSS120810-231802-560926_2012-09-16_05-40-19_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii","SSS120810-231802-560926_2012-09-16_05-40-19_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.fits","Object","High","","Air","Angstrom","1","Other","","1800","0","","1.18","","","","","3654.49853516","9248.2938385074","5.5111283776822","","","As part of the &lt;a href=http://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2012-08-18 16:51:36"
