spectra_file,obs_date,dereddening,smoothing,source
SN2011ke_2011-05-11_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455692.5,No,Yes,Quimby et al. 2018
SN2011ke_2011-05-13_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455694.5,No,Yes,Quimby et al. 2018
2011ke_2011-05-15_00-00-00_Other_Other_None.ascii,2455696.5,Yes,No,Inserra et al. 2013
2011ke_2011-05-22_00-00-00_TNG_NICS_None.ascii,2455703.5,Yes,No,Inserra et al. 2013
SN2011ke_2011-05-25_00-00-00_P200_DBSP_PTF_0_obs.dat,2455706.5,No,Yes,Quimby et al. 2018
SN2011ke_2011-05-30_00-00-00_HST_STIS_PTF_obs.dat,2455711.5,No,Yes,Quimby et al. 2018
2011ke_2011-06-01_00-00-00_Other_Other_None.ascii,2455713.5,Yes,No,Inserra et al. 2013
SN2011ke_2011-06-01_00-00-00_Keck2_DEIMOS_PTF_0_obs.dat,2455713.5,No,Yes,Quimby et al. 2018
SN2011ke_2011-06-07_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455719.5,No,Yes,Quimby et al. 2018
2011ke_2011-06-09_00-00-00_VLT-UT1_FORS1_None.ascii,2455721.5,Yes,No,Inserra et al. 2013
2011ke_2011-06-18_00-00-00_Other_Other_None.ascii,2455730.5,Yes,No,Inserra et al. 2013
2011ke_2011-06-25_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455737.5,Yes,No,Inserra et al. 2013
SN2011ke_2011-07-02_00-00-00_Keck1_LRIS_PTF_obs.dat,2455744.5,No,Yes,Quimby et al. 2018
SN2011ke_2012-01-26_00-00-00_Keck1_LRIS_PTF_obs.dat,2455952.5,No,Yes,Quimby et al. 2018
SN2011ke_2012-03-23_00-00-00_Keck1_LRIS_PTF_0_obs.dat,2456009.5,No,Yes,Quimby et al. 2018
SN2012il_2012-01-30_00-00-00_NOT_ALFOSC_None.ascii,2455956.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None.ascii,2455989.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None_0.ascii,2455989.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None.ascii,2456003.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_0.ascii,2456003.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_1.ascii,2456003.5,Yes,No,Inserra et al. 2013
SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_2.ascii,2456003.5,Yes,No,Inserra et al. 2013
,,,,
,,,,
,,,,
