SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
2011ke,SN2011ke_2011-05-11_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455692.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-05-13_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455694.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-05-15_00-00-00_Other_Other_None.ascii,2455696.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-05-22_00-00-00_TNG_NICS_None.ascii,2455703.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-05-25_00-00-00_P200_DBSP_PTF_0_obs.dat,2455706.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-05-30_00-00-00_HST_STIS_PTF_obs.dat,2455711.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-06-01_00-00-00_Other_Other_None.ascii,2455713.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-06-01_00-00-00_Keck2_DEIMOS_PTF_0_obs.dat,2455713.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2011-06-07_00-00-00_Mayall_RC-Spec_PTF_0_obs.dat,2455719.5,No,Yes,Quimby et al. 2018,Rest
2011ke,2011ke_2011-06-09_00-00-00_VLT-UT1_FORS1_None.ascii,2455721.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-06-18_00-00-00_Other_Other_None.ascii,2455730.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,2011ke_2011-06-25_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455737.5,Yes,No,Inserra et al. 2013,Unknown
2011ke,SN2011ke_2011-07-02_00-00-00_Keck1_LRIS_PTF_obs.dat,2455744.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2012-01-26_00-00-00_Keck1_LRIS_PTF_obs.dat,2455952.5,No,Yes,Quimby et al. 2018,Rest
2011ke,SN2011ke_2012-03-23_00-00-00_Keck1_LRIS_PTF_0_obs.dat,2456009.5,No,Yes,Quimby et al. 2018,Rest
2012il,SN2012il_2012-01-30_00-00-00_NOT_ALFOSC_None.ascii,2455956.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None.ascii,2455989.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-03_00-00-00_WHT-4.2m_ISIS_None_0.ascii,2455989.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_0.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_1.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
2012il,SN2012il_2012-03-17_00-00-00_VLT-UT2_X-Shooter_None_2.ascii,2456003.5,Yes,No,Inserra et al. 2013,Unknown
,,,,,DES15E2mlf_2015-12-15_02-03-29_Gemini-S_GMOS-S_None.flm,Unknown
DES15E2mlf,DES15E2mlf_2016-01-14_01-14-13_Gemini-S_GMOS-S_None.flm,2457401.5515394,No,No,2017MNRAS.470.4241P,Unknown
DES15E2mlf,DES15E2mlf_2015-12-06_02-20-13_Gemini-S_GMOS-S_None.flm,2457362.5973727,No,No,2017MNRAS.470.4241P,Unknown
LSQ14mo,LSQ14mo_2014-01-31_05-23-17_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.7245023,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_06-12-01_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7583449,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_02-18-03_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5958681,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_05-31-59_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.730544,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_04-30-51_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.6880903,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_03-46-58_ESO-NTT_EFOSC2-NTT_PESSTO.asci,2456688.6576157,No,No,PESSTO,Unknown
LSQ14mo,LSQ14mo_2014-02-28_03-34-32_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6489815,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_02-58-37_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.6240394,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_01-50-04_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5764352,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_07-13-09_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.8007986,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_01-19-30_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5552083,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_05-01-25_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7093171,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-28_04-05-06_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6702083,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_06-13-10_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7591435,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_06-53-44_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7873148,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-06_06-42-35_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456694.7795718,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_03-46-58_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.6576157,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_01-37-28_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5676852,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-01-31_04-52-43_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456688.7032755,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-03-08_05-32-36_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456724.7309722,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-28_03-03-57_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456716.6277431,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-02-20_02-20-39_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456708.5976736,No,No,PESSTO-SSDR1-2,Unknown
LSQ14mo,LSQ14mo_2014-04-21_00-56-53_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456768.5395023,No,No,PESSTO-SSDR1-2,Unknown
PS1-10awh,PS1-10awh_2010-12-09_00-00-00_MMT_MMT-Blue_PS1.flm,2455539.5,No,No,PS1,Unknown
PS1-10awh,PS1-10awh_2010-10-12_00-00-00_Gemini-N_GMOS_PS1.flm,2455481.5,No,No,PS1,Unknown
PS1-10awh,PS1-10awh_2010-11-27_00-00-00_MMT_Hectospec_PS1.flm,2455527.5,No,No,PS1,Unknown
PTF09cnd,PTF09cnd_2009-10-12_00-00-00_WHT-4.2m_ISIS_PTF_0.dat,2455116.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2010-01-14_00-00-00_Keck1_LRIS_PTF_0.dat,2455210.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2014-05-27_11-26-05_Keck1_LRIS_None.spec,2456804.9764468,No,No,2016ApJ...830...13P,Unknown
PTF09cnd,PTF09cnd_2010-02-11_00-00-00_Keck1_LRIS_PTF.dat,2455238.5,No,No,PTF,Unknown
PTF09cnd,PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF_0.dat,2455068.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-10-23_00-00-00_Keck1_LRIS_PTF_0.dat,2455127.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-10-17_00-00-00_Keck1_LRIS_PTF.dat,2455121.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-09-23_00-00-00_Keck1_LRIS_PTF_1.dat,2455097.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-08-25_00-00-00_Keck1_LRIS_PTF.dat,2455068.5,No,No,PTF,Unknown
PTF09cnd,PTF09cnd_2010-09-05_00-00-00_Keck1_LRIS_PTF.dat,2455444.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2009-09-15_00-00-00_WHT-4.2m_ISIS_PTF.dat,2455089.5,No,Yes,PTF,Rest
PTF09cnd,PTF09cnd_2011-07-02_00-00-00_Keck1_LRIS_PTF.dat,2455744.5,No,Yes,PTF,Rest
